candidate_id,stage,ticker,rulebook_hash,activity_rule_hash,train_start,train_end,component,weight,condition_form,condition_text,threshold_low,threshold_high,dist_min,dist_p01,dist_p99,dist_max,activation_tail_threshold,activation_tail_p99,activation_tail_max,reachability_label,reason_code,comparison_basis,policy_version
stage2:AA:3a8c10b9408c,stage2,AA,3a8c10b9408c8beb9a2c4c6a8582fa359f8e1787a46f7b3851d4cd7eff3f7cc3,3a8c10b9408c8beb9a2c4c6a8582fa359f8e1787a46f7b3851d4cd7eff3f7cc3,2022-07-01,2023-06-30,volume,0.5477741563600509,ONE_SIDED_GE,Volume_ratio >= 2.115600682743709,2.115600682743709,,0.4193653809823894,,2.0213464062885853,2.981317476521699,2.115600682743709,2.0213464062885853,2.981317476521699,NEAR_UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:AA:657f7cf281f4,stage2,AA,657f7cf281f4e7c283ffbe4a7e2c50b7b3f5ce20f4f7bbac6491d1aac37b89e7,657f7cf281f4e7c283ffbe4a7e2c50b7b3f5ce20f4f7bbac6491d1aac37b89e7,2022-07-01,2023-06-30,volume,0.9386604141246192,ONE_SIDED_GE,Volume_ratio >= 2.5,2.5,,0.4193653809823894,,2.0213464062885853,2.981317476521699,2.5,2.0213464062885853,2.981317476521699,NEAR_UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:AA:a667a5aec2bd,stage2,AA,a667a5aec2bd49097e3847ecf39c7b79a341f80e7db586e301bdf4317796e6cb,a667a5aec2bd49097e3847ecf39c7b79a341f80e7db586e301bdf4317796e6cb,2022-07-01,2023-06-30,volume,0.9386604141246192,ONE_SIDED_GE,Volume_ratio >= 2.5,2.5,,0.4193653809823894,,2.0213464062885853,2.981317476521699,2.5,2.0213464062885853,2.981317476521699,NEAR_UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:AAPL:1305d2d0d9dc,stage2,AAPL,1305d2d0d9dcde98a7817c4a5786be5888bd6bc552b0d83ba8bc2533feb9c033,1305d2d0d9dcde98a7817c4a5786be5888bd6bc552b0d83ba8bc2533feb9c033,2024-07-01,2025-06-30,volume,1.4503422691855394,ONE_SIDED_GE,Volume_ratio >= 2.234650459685673,2.234650459685673,,0.3528479686264218,,1.8528602945125128,2.895864259637012,2.234650459685673,1.8528602945125128,2.895864259637012,NEAR_UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:2534bc281113,stage2,ABM,2534bc281113e6d2e528d3bad949e7d24f4ae3541fe8117d2fad20f849e0bf13,2534bc281113e6d2e528d3bad949e7d24f4ae3541fe8117d2fad20f849e0bf13,2022-07-01,2023-06-30,volume,0.5087819580233928,ONE_SIDED_GE,Volume_ratio >= 2.4230454722517325,2.4230454722517325,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.4230454722517325,2.044056767966355,2.286150091519219,UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:3001f469bd71,stage2,ABM,3001f469bd71eee59a53e80e9794646e96e81e7da4944bba7d1388bb1787b84c,3001f469bd71eee59a53e80e9794646e96e81e7da4944bba7d1388bb1787b84c,2022-07-01,2023-06-30,volume,0.1326051209018582,ONE_SIDED_GE,Volume_ratio >= 2.2841788329167945,2.2841788329167945,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.2841788329167945,2.044056767966355,2.286150091519219,NEAR_UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:35d6c06f15cb,stage2,ABM,35d6c06f15cb96a05ea474b1173b6db8ac1cd37a975cbeb198834d82a4312483,35d6c06f15cb96a05ea474b1173b6db8ac1cd37a975cbeb198834d82a4312483,2022-07-01,2023-06-30,volume,0.1571098660865816,ONE_SIDED_GE,Volume_ratio >= 2.4230454722517325,2.4230454722517325,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.4230454722517325,2.044056767966355,2.286150091519219,UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:464800e0fb6e,stage2,ABM,464800e0fb6ebfad4e395292206c37a573057c3c4dfebd0771e72cb3e7f27a06,464800e0fb6ebfad4e395292206c37a573057c3c4dfebd0771e72cb3e7f27a06,2022-07-01,2023-06-30,volume,0.3102527322994509,ONE_SIDED_GE,Volume_ratio >= 2.4214038866224916,2.421403886622492,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.421403886622492,2.044056767966355,2.286150091519219,UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:4aabfa46446a,stage2,ABM,4aabfa46446af08c6ad65f4c89c21d78fb1491e8e1201f7311dd65a27d5b94fc,4aabfa46446af08c6ad65f4c89c21d78fb1491e8e1201f7311dd65a27d5b94fc,2022-07-01,2023-06-30,volume,0.5087819580233928,ONE_SIDED_GE,Volume_ratio >= 2.4230454722517325,2.4230454722517325,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.4230454722517325,2.044056767966355,2.286150091519219,UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:52bd480a78f4,stage2,ABM,52bd480a78f4e3cec529126640d1f11b204cf71fe7242019aa5e93fdfe743519,52bd480a78f4e3cec529126640d1f11b204cf71fe7242019aa5e93fdfe743519,2022-07-01,2023-06-30,volume,0.5087819580233928,ONE_SIDED_GE,Volume_ratio >= 2.3582543675919116,2.358254367591912,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.358254367591912,2.044056767966355,2.286150091519219,UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
stage2:ABM:551b6df5279d,stage2,ABM,551b6df5279d31c86a9aa1a21ac84331cc610a47319d11ddba5ec450632ef988,551b6df5279d31c86a9aa1a21ac84331cc610a47319d11ddba5ec450632ef988,2022-07-01,2023-06-30,volume,1.4312177799143442,ONE_SIDED_GE,Volume_ratio >= 2.4214038866224916,2.421403886622492,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.421403886622492,2.044056767966355,2.286150091519219,UNREACHABLE,ACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: raw threshold > raw p99; max separates UNREACHABLE,integrated-gate-v2-p99-reachability-block
