stage_scope,component,condition_form,reachability_label,inactive_weight,candidate_count,component_total,rate_pct,block_eligible_form
ALL,ma,BOOLEAN_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,False,15393,17071,90.1704645304903,False
ALL,ma,BOOLEAN_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,True,1678,17071,9.829535469509695,False
ALL,macd,BOOLEAN_CROSS_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,False,15578,17071,91.25417374494758,False
ALL,macd,BOOLEAN_CROSS_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,True,1493,17071,8.745826255052428,False
ALL,rsi,BAND_INCLUSIVE,EXCLUDED_BAND_NOT_ONE_SIDED,False,16243,17071,95.14966902934802,False
ALL,rsi,BAND_INCLUSIVE,EXCLUDED_BAND_NOT_ONE_SIDED,True,828,17071,4.850330970651983,False
ALL,bb,ONE_SIDED_LE,REACHABLE,False,16094,17071,94.27684377013648,True
ALL,bb,ONE_SIDED_LE,REACHABLE,True,977,17071,5.723156229863511,True
ALL,volume,ONE_SIDED_GE,NEAR_UNREACHABLE,False,2873,17071,16.829711206139066,True
ALL,volume,ONE_SIDED_GE,NEAR_UNREACHABLE,True,435,17071,2.5481811258860056,True
ALL,volume,ONE_SIDED_GE,REACHABLE,False,11259,17071,65.95395700310468,True
ALL,volume,ONE_SIDED_GE,REACHABLE,True,1321,17071,7.738269579989455,True
ALL,volume,ONE_SIDED_GE,UNREACHABLE,False,1094,17071,6.4085290844121605,True
ALL,volume,ONE_SIDED_GE,UNREACHABLE,True,89,17071,0.5213520004686311,True
stage2,ma,BOOLEAN_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,False,888,1162,76.41996557659209,False
stage2,ma,BOOLEAN_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,True,274,1162,23.580034423407916,False
stage2,macd,BOOLEAN_CROSS_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,False,1055,1162,90.79173838209982,False
stage2,macd,BOOLEAN_CROSS_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,True,107,1162,9.208261617900172,False
stage2,rsi,BAND_INCLUSIVE,EXCLUDED_BAND_NOT_ONE_SIDED,False,1081,1162,93.02925989672978,False
stage2,rsi,BAND_INCLUSIVE,EXCLUDED_BAND_NOT_ONE_SIDED,True,81,1162,6.970740103270224,False
stage2,bb,ONE_SIDED_LE,REACHABLE,False,1121,1162,96.47160068846816,True
stage2,bb,ONE_SIDED_LE,REACHABLE,True,41,1162,3.5283993115318415,True
stage2,volume,ONE_SIDED_GE,NEAR_UNREACHABLE,False,179,1162,15.404475043029258,True
stage2,volume,ONE_SIDED_GE,NEAR_UNREACHABLE,True,15,1162,1.2908777969018932,True
stage2,volume,ONE_SIDED_GE,REACHABLE,False,831,1162,71.51462994836488,True
stage2,volume,ONE_SIDED_GE,REACHABLE,True,31,1162,2.667814113597246,True
stage2,volume,ONE_SIDED_GE,UNREACHABLE,False,89,1162,7.6592082616179,True
stage2,volume,ONE_SIDED_GE,UNREACHABLE,True,17,1162,1.4629948364888123,True
stage3,ma,BOOLEAN_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,False,14505,15909,91.17480671318123,False
stage3,ma,BOOLEAN_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,True,1404,15909,8.825193286818783,False
stage3,macd,BOOLEAN_CROSS_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,False,14523,15909,91.28795021685838,False
stage3,macd,BOOLEAN_CROSS_EVENT,EXCLUDED_EVENT_NO_SCALAR_THRESHOLD,True,1386,15909,8.712049783141618,False
stage3,rsi,BAND_INCLUSIVE,EXCLUDED_BAND_NOT_ONE_SIDED,False,15162,15909,95.3045445973977,False
stage3,rsi,BAND_INCLUSIVE,EXCLUDED_BAND_NOT_ONE_SIDED,True,747,15909,4.695455402602301,False
stage3,bb,ONE_SIDED_LE,REACHABLE,False,14973,15909,94.11653780878748,True
stage3,bb,ONE_SIDED_LE,REACHABLE,True,936,15909,5.883462191212521,True
stage3,volume,ONE_SIDED_GE,NEAR_UNREACHABLE,False,2694,15909,16.93381105034886,True
stage3,volume,ONE_SIDED_GE,NEAR_UNREACHABLE,True,420,15909,2.6400150858004903,True
stage3,volume,ONE_SIDED_GE,REACHABLE,False,10428,15909,65.5478031303036,True
stage3,volume,ONE_SIDED_GE,REACHABLE,True,1290,15909,8.108617763530077,True
stage3,volume,ONE_SIDED_GE,UNREACHABLE,False,1005,15909,6.317178955308315,True
stage3,volume,ONE_SIDED_GE,UNREACHABLE,True,72,15909,0.4525740147086555,True
