candidate_id,stage,ticker,rulebook_hash,activity_rule_hash,train_start,train_end,component,weight,inactive_weight,weight_state,condition_form,condition_text,threshold_low,threshold_high,dist_min,dist_p01,dist_p99,dist_max,activation_tail_threshold,activation_tail_p99,activation_tail_max,reachability_label,reason_code,comparison_basis,v2_blocked,newly_captured_vs_v2,policy_version
stage2:ABM:8c31c3281440,stage2,ABM,8c31c32814403c4d08e660489704d01abd45ce871bfd390b6cd79b7df81ad965,8c31c32814403c4d08e660489704d01abd45ce871bfd390b6cd79b7df81ad965,2022-07-01,2023-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.5,2.5,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.5,2.044056767966355,2.286150091519219,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:ABM:b1932970ad06,stage2,ABM,b1932970ad068a6d859541247c057edaf95ca2f03da2bc78a089b63c4d1e14cd,b1932970ad068a6d859541247c057edaf95ca2f03da2bc78a089b63c4d1e14cd,2022-07-01,2023-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.387818099285564,2.387818099285564,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.387818099285564,2.044056767966355,2.286150091519219,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:ABM:c44daf13aca9,stage2,ABM,c44daf13aca9a89e5fc4190810d0e3a9c0a18e106a716c1c78e6a10ebb169fbd,c44daf13aca9a89e5fc4190810d0e3a9c0a18e106a716c1c78e6a10ebb169fbd,2022-07-01,2023-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.5,2.5,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.5,2.044056767966355,2.286150091519219,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:ABM:f14968a15da7,stage2,ABM,f14968a15da7864abd334704710cf791df026767f4f6d8f7ff6daae10d5dc62d,f14968a15da7864abd334704710cf791df026767f4f6d8f7ff6daae10d5dc62d,2022-07-01,2023-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.5,2.5,,0.3611032129655956,,2.044056767966355,2.286150091519219,2.5,2.044056767966355,2.286150091519219,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:ARW:38230ab70d03,stage2,ARW,38230ab70d0336e0cf42d71fec2af76b27eec38b5ab160b15f7a59893abb11c8,38230ab70d0336e0cf42d71fec2af76b27eec38b5ab160b15f7a59893abb11c8,2023-07-01,2024-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.1518067479178,2.1518067479178,,0.3311459362452302,,1.9648876881654185,3.509223890320097,2.1518067479178,1.9648876881654185,3.509223890320097,NEAR_UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:AZO:1227af86d825,stage2,AZO,1227af86d825f9e6f1a0bdb55b04eeb59edf4d5b22447802e31d5a9c7d122b63,1227af86d825f9e6f1a0bdb55b04eeb59edf4d5b22447802e31d5a9c7d122b63,2023-07-01,2024-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.355143755459138,2.355143755459138,,0.382262996941896,,1.7726458555422522,1.9780949220046464,2.355143755459138,1.7726458555422522,1.9780949220046464,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:CBOE:b37cc2867aad,stage2,CBOE,b37cc2867aad03188491b7000bb858f41944e953054a6aa0ff60ffb1be0f89de,b37cc2867aad03188491b7000bb858f41944e953054a6aa0ff60ffb1be0f89de,2023-07-01,2024-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.3560517602940023,2.3560517602940023,,0.3063689817779589,,1.878433341784398,2.2996198114681525,2.3560517602940023,1.878433341784398,2.2996198114681525,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:CBOE:ddbb3f35996f,stage2,CBOE,ddbb3f35996fea6df2dd7499f5d8ee6489eb8eec23646517e833b5870462f538,ddbb3f35996fea6df2dd7499f5d8ee6489eb8eec23646517e833b5870462f538,2023-07-01,2024-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.3560517602940023,2.3560517602940023,,0.3063689817779589,,1.878433341784398,2.2996198114681525,2.3560517602940023,1.878433341784398,2.2996198114681525,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:CBOE:ff7b8d54f18f,stage2,CBOE,ff7b8d54f18fbac40a3923dcba7329a39686df2b9e65a9de72419cbf6c3f9c59,ff7b8d54f18fbac40a3923dcba7329a39686df2b9e65a9de72419cbf6c3f9c59,2023-07-01,2024-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.3560517602940023,2.3560517602940023,,0.3063689817779589,,1.878433341784398,2.2996198114681525,2.3560517602940023,1.878433341784398,2.2996198114681525,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:CSX:de3e074e6528,stage2,CSX,de3e074e6528c1f3d621bfed3ca3f0c8eb9365751dae612a0fba156a535926b2,de3e074e6528c1f3d621bfed3ca3f0c8eb9365751dae612a0fba156a535926b2,2022-07-01,2023-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 1.8131753322823727,1.8131753322823727,,0.4392000156470271,,1.8029456559156865,1.8856409339991544,1.8131753322823727,1.8029456559156865,1.8856409339991544,NEAR_UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_P99,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
stage2:CTVA:4596db4f4f6d,stage2,CTVA,4596db4f4f6d9a5e3d51cc6147a6641a604464336276df07bee4aed52b6d3010,4596db4f4f6d9a5e3d51cc6147a6641a604464336276df07bee4aed52b6d3010,2022-07-01,2023-06-30,volume,0.0,True,INACTIVE_WEIGHT,ONE_SIDED_GE,Volume_ratio >= 2.5,2.5,,0.3339592401870134,,2.1541040765961297,2.3161769768520006,2.5,2.1541040765961297,2.3161769768520006,UNREACHABLE,INACTIVE_VOLUME_THRESHOLD_GT_TRAIN_MAX,ONE_SIDED_GE: threshold > p99; > max is UNREACHABLE; weight ignored,False,True,integrated-gate-v3-p99-reachability-block-weightless
