pool_scope,component,total_rules,active_rules,rarely_active_rules,never_fired_rules,never_fired_rate_pct,unvalidated_weighted_never_rules,unvalidated_weighted_never_rate_pct,zero_weight_never_rules,weighted_rare_rules,mean_fired_count
STAGE2_UPSTREAM,bb,597300,595810,1482,8,0.0013393604553825547,8,0.0013393604553825547,0,1403,126.65203415369162
STAGE2_UPSTREAM,ma,597300,596100,600,600,0.10045203415369162,510,0.08538422903063787,90,561,85.3236229700318
STAGE2_UPSTREAM,macd,597300,595500,1800,0,0.0,0,0.0,0,1708,9.743010212623473
STAGE2_UPSTREAM,rsi,597300,597300,0,0,0.0,0,0.0,0,0,211.7086338523355
STAGE2_UPSTREAM,volume_surge,597300,389076,160341,47883,8.01657458563536,42691,7.147329650092081,5192,144323,15.751848317428427
STAGE3_ENTRY,bb,5663,5639,24,0,0.0,0,0.0,0,19,109.48596150450291
STAGE3_ENTRY,ma,5663,5663,0,0,0.0,0,0.0,0,0,90.93731237859792
STAGE3_ENTRY,macd,5663,5663,0,0,0.0,0,0.0,0,0,10.238919300723998
STAGE3_ENTRY,rsi,5663,5663,0,0,0.0,0,0.0,0,0,207.78209429630937
STAGE3_ENTRY,volume_surge,5663,3666,1609,388,6.851492141974219,364,6.427688504326329,24,1404,16.41621048914003
