candidate_id,cluster_count,cluster_share,length_bucket,scope_max_cluster_length,scope_total_clusters,scope_total_signals,scope_type,scope_value,signal_count,signal_share,stage,ticker
,3311,0.5587242659466757,1일,81,5926,18245,ALL,ALL,3311,0.1814743765415182,ALL,
,868,0.14647316908538643,2일,81,5926,18245,ALL,ALL,1736,0.0951493559879419,ALL,
,1747,0.2948025649679379,3일+,81,5926,18245,ALL,ALL,13198,0.7233762674705398,ALL,
,616,0.5778611632270169,1일,16,1066,2510,STAGE,stage2,616,0.24541832669322708,stage2,
,166,0.15572232645403378,2일,16,1066,2510,STAGE,stage2,332,0.13227091633466134,stage2,
,284,0.26641651031894936,3일+,16,1066,2510,STAGE,stage2,1562,0.6223107569721116,stage2,
,2695,0.5545267489711934,1일,81,4860,15735,STAGE,stage3,2695,0.17127422942484907,stage3,
,702,0.14444444444444443,2일,81,4860,15735,STAGE,stage3,1404,0.0892278360343184,stage3,
,1463,0.30102880658436215,3일+,81,4860,15735,STAGE,stage3,11636,0.7394979345408326,stage3,
stage2:ALGT:402f72d48c3c,76,0.5757575757575758,1일,10,132,279,ENTITY,stage2:ALGT:402f72d48c3c,76,0.2724014336917563,stage2,ALGT
stage2:ALGT:402f72d48c3c,24,0.18181818181818182,2일,10,132,279,ENTITY,stage2:ALGT:402f72d48c3c,48,0.17204301075268819,stage2,ALGT
stage2:ALGT:402f72d48c3c,32,0.24242424242424243,3일+,10,132,279,ENTITY,stage2:ALGT:402f72d48c3c,155,0.5555555555555556,stage2,ALGT
stage2:CAT:a752666ee858,80,0.7339449541284404,1일,9,109,169,ENTITY,stage2:CAT:a752666ee858,80,0.47337278106508873,stage2,CAT
stage2:CAT:a752666ee858,14,0.12844036697247707,2일,9,109,169,ENTITY,stage2:CAT:a752666ee858,28,0.16568047337278108,stage2,CAT
stage2:CAT:a752666ee858,15,0.13761467889908258,3일+,9,109,169,ENTITY,stage2:CAT:a752666ee858,61,0.3609467455621302,stage2,CAT
stage2:CEF:fe84c0ad85d8,92,0.5227272727272727,1일,14,176,516,ENTITY,stage2:CEF:fe84c0ad85d8,92,0.17829457364341086,stage2,CEF
stage2:CEF:fe84c0ad85d8,25,0.14204545454545456,2일,14,176,516,ENTITY,stage2:CEF:fe84c0ad85d8,50,0.09689922480620156,stage2,CEF
stage2:CEF:fe84c0ad85d8,59,0.3352272727272727,3일+,14,176,516,ENTITY,stage2:CEF:fe84c0ad85d8,374,0.7248062015503876,stage2,CEF
stage2:CMC:4f6ee2739add,75,0.5681818181818182,1일,10,132,289,ENTITY,stage2:CMC:4f6ee2739add,75,0.25951557093425603,stage2,CMC
stage2:CMC:4f6ee2739add,25,0.1893939393939394,2일,10,132,289,ENTITY,stage2:CMC:4f6ee2739add,50,0.17301038062283736,stage2,CMC
stage2:CMC:4f6ee2739add,32,0.24242424242424243,3일+,10,132,289,ENTITY,stage2:CMC:4f6ee2739add,164,0.5674740484429066,stage2,CMC
stage2:FIX:cab7d458767d,76,0.4578313253012048,1일,16,166,516,ENTITY,stage2:FIX:cab7d458767d,76,0.14728682170542637,stage2,FIX
stage2:FIX:cab7d458767d,26,0.1566265060240964,2일,16,166,516,ENTITY,stage2:FIX:cab7d458767d,52,0.10077519379844961,stage2,FIX
stage2:FIX:cab7d458767d,64,0.3855421686746988,3일+,16,166,516,ENTITY,stage2:FIX:cab7d458767d,388,0.751937984496124,stage2,FIX
stage2:MPC:8107accddd2c,71,0.8255813953488372,1일,8,86,117,ENTITY,stage2:MPC:8107accddd2c,71,0.6068376068376068,stage2,MPC
stage2:MPC:8107accddd2c,7,0.08139534883720931,2일,8,86,117,ENTITY,stage2:MPC:8107accddd2c,14,0.11965811965811966,stage2,MPC
stage2:MPC:8107accddd2c,8,0.09302325581395349,3일+,8,86,117,ENTITY,stage2:MPC:8107accddd2c,32,0.27350427350427353,stage2,MPC
stage2:PLXS:c33a9dcf246c,78,0.4431818181818182,1일,13,176,503,ENTITY,stage2:PLXS:c33a9dcf246c,78,0.1550695825049702,stage2,PLXS
stage2:PLXS:c33a9dcf246c,32,0.18181818181818182,2일,13,176,503,ENTITY,stage2:PLXS:c33a9dcf246c,64,0.1272365805168986,stage2,PLXS
stage2:PLXS:c33a9dcf246c,66,0.375,3일+,13,176,503,ENTITY,stage2:PLXS:c33a9dcf246c,361,0.7176938369781312,stage2,PLXS
stage2:POWI:6c2e3e5c874b,68,0.7640449438202247,1일,4,89,121,ENTITY,stage2:POWI:6c2e3e5c874b,68,0.5619834710743802,stage2,POWI
stage2:POWI:6c2e3e5c874b,13,0.14606741573033707,2일,4,89,121,ENTITY,stage2:POWI:6c2e3e5c874b,26,0.21487603305785125,stage2,POWI
stage2:POWI:6c2e3e5c874b,8,0.0898876404494382,3일+,4,89,121,ENTITY,stage2:POWI:6c2e3e5c874b,27,0.2231404958677686,stage2,POWI
stage3:AA:9bf08eb287d2,10,1.0,1일,1,10,10,ENTITY,stage3:AA:9bf08eb287d2,10,1.0,stage3,AA
stage3:AA:9bf08eb287d2,0,0.0,2일,1,10,10,ENTITY,stage3:AA:9bf08eb287d2,0,0.0,stage3,AA
stage3:AA:9bf08eb287d2,0,0.0,3일+,1,10,10,ENTITY,stage3:AA:9bf08eb287d2,0,0.0,stage3,AA
stage3:AAOI:5fa4b9dea9eb,32,0.8888888888888888,1일,5,36,43,ENTITY,stage3:AAOI:5fa4b9dea9eb,32,0.7441860465116279,stage3,AAOI
stage3:AAOI:5fa4b9dea9eb,3,0.08333333333333333,2일,5,36,43,ENTITY,stage3:AAOI:5fa4b9dea9eb,6,0.13953488372093023,stage3,AAOI
stage3:AAOI:5fa4b9dea9eb,1,0.027777777777777776,3일+,5,36,43,ENTITY,stage3:AAOI:5fa4b9dea9eb,5,0.11627906976744186,stage3,AAOI
stage3:ABEV:9121d29b2b80,10,1.0,1일,1,10,10,ENTITY,stage3:ABEV:9121d29b2b80,10,1.0,stage3,ABEV
stage3:ABEV:9121d29b2b80,0,0.0,2일,1,10,10,ENTITY,stage3:ABEV:9121d29b2b80,0,0.0,stage3,ABEV
stage3:ABEV:9121d29b2b80,0,0.0,3일+,1,10,10,ENTITY,stage3:ABEV:9121d29b2b80,0,0.0,stage3,ABEV
stage3:ACLS:91f65753d85d,6,1.0,1일,1,6,6,ENTITY,stage3:ACLS:91f65753d85d,6,1.0,stage3,ACLS
stage3:ACLS:91f65753d85d,0,0.0,2일,1,6,6,ENTITY,stage3:ACLS:91f65753d85d,0,0.0,stage3,ACLS
stage3:ACLS:91f65753d85d,0,0.0,3일+,1,6,6,ENTITY,stage3:ACLS:91f65753d85d,0,0.0,stage3,ACLS
stage3:ACMR:44c1e02681c4,84,0.509090909090909,1일,30,165,668,ENTITY,stage3:ACMR:44c1e02681c4,84,0.12574850299401197,stage3,ACMR
stage3:ACMR:44c1e02681c4,20,0.12121212121212122,2일,30,165,668,ENTITY,stage3:ACMR:44c1e02681c4,40,0.059880239520958084,stage3,ACMR
stage3:ACMR:44c1e02681c4,61,0.3696969696969697,3일+,30,165,668,ENTITY,stage3:ACMR:44c1e02681c4,544,0.8143712574850299,stage3,ACMR
stage3:ADMA:42437a3ee595,82,0.47953216374269003,1일,12,171,437,ENTITY,stage3:ADMA:42437a3ee595,82,0.18764302059496568,stage3,ADMA
stage3:ADMA:42437a3ee595,31,0.18128654970760233,2일,12,171,437,ENTITY,stage3:ADMA:42437a3ee595,62,0.14187643020594964,stage3,ADMA
stage3:ADMA:42437a3ee595,58,0.3391812865497076,3일+,12,171,437,ENTITY,stage3:ADMA:42437a3ee595,293,0.6704805491990846,stage3,ADMA
stage3:ADPT:78c31f1ca209,78,0.7358490566037735,1일,8,106,191,ENTITY,stage3:ADPT:78c31f1ca209,78,0.4083769633507853,stage3,ADPT
stage3:ADPT:78c31f1ca209,10,0.09433962264150944,2일,8,106,191,ENTITY,stage3:ADPT:78c31f1ca209,20,0.10471204188481675,stage3,ADPT
stage3:ADPT:78c31f1ca209,18,0.16981132075471697,3일+,8,106,191,ENTITY,stage3:ADPT:78c31f1ca209,93,0.4869109947643979,stage3,ADPT
stage3:AEIS:6e26f08a7c6d,65,0.41139240506329117,1일,41,158,895,ENTITY,stage3:AEIS:6e26f08a7c6d,65,0.07262569832402235,stage3,AEIS
stage3:AEIS:6e26f08a7c6d,17,0.10759493670886076,2일,41,158,895,ENTITY,stage3:AEIS:6e26f08a7c6d,34,0.03798882681564246,stage3,AEIS
