element_id,scope,classification,active_in_live_candidate_selection_at_2026-07-09,logic,code_path,code_lines,source_mtime_utc,source_sha256,verdict
MA5_INDICATOR,core_indicator,INPUT,true,"MA5 = rolling mean(Close,5)",engine/core/indicators.py,109,2026-05-24T23:54:25.967011+00:00,21c82425537e32600821e4460bdea53b09dc90597971b9a7fbdc4f3dfa50db38,FOUND
ALIGNED_BULL_WITH_MA5,live_signal_score,SCORE,true,"Aligned_bull = MA5>MA20>MA60; if true add weight_ma_align",engine/core/indicators.py;engine/strategies/evaluator.py,150-153;64-78,2026-05-24T23:54:25.967011+00:00;2026-06-06T20:38:58.237852+00:00,21c82425537e32600821e4460bdea53b09dc90597971b9a7fbdc4f3dfa50db38;d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584,FOUND
VOLUME_MA5,core_indicator,INPUT,true,"Volume_MA5 = rolling mean(Volume,5); Volume_ratio=Volume/Volume_MA5",engine/core/indicators.py,135-137,2026-05-24T23:54:25.967011+00:00,21c82425537e32600821e4460bdea53b09dc90597971b9a7fbdc4f3dfa50db38,FOUND
VOLUME_SURGE_5D,live_signal_score,SCORE,true,"Volume_ratio >= rulebook.volume_surge_ratio이면 weight_volume_surge 가산",engine/strategies/evaluator.py,124-129,2026-06-06T20:38:58.237852+00:00,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584,FOUND
SHADOW_MA5_DISTANCE,elite_shadow_entry_quality,SCORE,false,"price와 최근 5개 종가 MA5 거리; above_ma5면 +14, dist_ma5<-3이면 -10",engine/live/elite_shadow_entry_quality.py,79;100;105;150-152;178-180,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
SHADOW_5D_LOW_RECOVERY,elite_shadow_entry_quality,SCORE,false,"recent_low5=min(last5 Low); bounce>=4/8/15%에 +10/+16/+22",engine/live/elite_shadow_entry_quality.py,81;102;127-135,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
SHADOW_5D_HIGH_DISTANCE,elite_shadow_entry_quality,SCORE,false,"recent_high5=max(last5 High); dist_high5<-12%이면 -8",engine/live/elite_shadow_entry_quality.py,82;103;181-183,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
SHADOW_RET_5D_OVERHEAT,elite_shadow_entry_quality,GATE,false,"ret_5d>=20% and dist_ma20>=18%를 overheat로 정의; ret_1d<=0이면 block",engine/live/elite_shadow_entry_quality.py,97;227;254-256,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
SHADOW_NO_FOLLOW_MA5,elite_shadow_entry_quality,GATE,false,"above_ma5 또는 ret1>0 또는 low5 bounce>=8%+volume 조건이 모두 아니고 q<60이면 block",engine/live/elite_shadow_entry_quality.py,228-244,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
SHADOW_EVENT_HEAVY_BELOW_MA5,elite_shadow_entry_quality,GATE,false,"event_heavy and not above_ma5 and q<75이면 block",engine/live/elite_shadow_entry_quality.py,248-250,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
SHADOW_BOTTOM_FISHING_BELOW_MA5,elite_shadow_entry_quality,GATE,false,"BB/RSI reason and dist_ma5<0이면 bottom_fishing; q<60이면 block",engine/live/elite_shadow_entry_quality.py,222;251-253,2026-07-01T13:16:14.319890+00:00,4d26a59a4fd6dab5ad31b4f55def3bda71a2129c44a7d2b4e0bea5441869797b,FOUND_SHADOW_ONLY
ENTRY_CONCENTRATION_RET5,elite_shadow_concentration,RANK,false,"ret5 -2..7이면 +5; >12이면 -7 및 cap; <-5이면 -5",engine/live/elite_entry_concentration.py,62;95-101,2026-07-02T11:57:51.271650+00:00,bc0f9c39c8770609bdd909ef387d7cdf01af8a52f4bfe1eabbf6e06eb2f60c2f,FOUND_SHADOW_ONLY
ENTRY_CONCENTRATION_DIST_MA5,elite_shadow_concentration,RANK,false,"dist_ma5 0..5%이면 +3; <-2%이면 -6; >8%이면 -4",engine/live/elite_entry_concentration.py,64;104-109,2026-07-02T11:57:51.271650+00:00,bc0f9c39c8770609bdd909ef387d7cdf01af8a52f4bfe1eabbf6e06eb2f60c2f,FOUND_SHADOW_ONLY
ENTRY_CONCENTRATION_DIST_HIGH5,elite_shadow_concentration,RANK,false,"dist_high5 -6..0%이면 +3; <-12%이면 -5",engine/live/elite_entry_concentration.py,65;110-113,2026-07-02T11:57:51.271650+00:00,bc0f9c39c8770609bdd909ef387d7cdf01af8a52f4bfe1eabbf6e06eb2f60c2f,FOUND_SHADOW_ONLY
PULLBACK_FORECAST_5D,auxiliary_pullback_model,SCORE,false,"최근 5일 저점 회복, MA5 회복 등을 별도 pullback score에 반영",engine/live/elite_pullback_forecast.py,235-283,2026-06-30T19:39:00.801412+00:00,bcf6ea4842776305dc690dcc69fe8fc889e0fa2fb6682e19c47fe28211e48b11,FOUND_AUXILIARY_NOT_SLOT_SELECTION
