time_utc,stage,event,price,score,threshold,margin,pass,market_score,sector_score,vix,event_component,news_component,news_topics_component,status,evidence_path,evidence_timestamp_or_member_mtime,evidence_sha256,evidence_grade
2026-07-07T04:22:07.313968+00:00,stage3_training,entry_rulebook_selected,,,2.5574757832651467,,,,,,,0,0,,SELECTED,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/entry_rulebooks.jsonl,2026-07-07T04:22:07.313968+00:00,53e58bd063f20a1b7d9ce0afe92b7dcf1093aed4b941f79bd9c031e0cfa5aa39,DIRECT_ARTIFACT
2026-07-07T07:11:37.439751+00:00,stage3_training,final_rulebook_created,,,2.5574757832651467,,,,,,,0,0,,FINALIZED,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/final_rulebooks.jsonl,2026-07-07T07:11:37.439751+00:00,ee4e6964212fc69927000fef1037db201bfb7d6f271b9cdfd0df3d3119a963ff,DIRECT_ARTIFACT
2026-07-07T20:38:48.467843+00:00,pool,candidate_universe_persisted,,,,,,,,,,,,,AVAILABLE,data/_system/live_candidate_list_20260707.json,2026-07-07T20:38:48.467843+00:00,c59894093ede361c162d0e64b5c4885e6dac512d81bf07c93bc12ae41ce56529,DIRECT_ARTIFACT
2026-07-09T17:20:33.590054+00:00,live,first_signal,600.8599853515625,2.971797614887265,2.5574757832651467,0.41432183162211844,true,,,,,,,ACTIVE,data/_system/live_slots_state.json::first_seen_signals,first_signal_at,f0a44d663e877c6f77e5e202aa3833228b2359041aad530aab8779a357be4dc0,DIRECT_FIRST_SEEN_FIELDS_COMPONENTS_FROM_NEAREST_BACKUP
2026-07-09T17:39:17.315917+00:00,live,refresh,599.760009765625,2.971797614887265,2.5574757832651467,0.41432183162211844,true,77.6,100.0,15.97,-1.6902760885111983,0.0,0.0,WAITLIST,backup/pre_rulebook_completeness_audit_20260709_174011.tar.gz::data/_system/live_slots_state.json,2026-07-09T17:39:17+00:00,288bb174baba69ae0f9b4bf923a13720d197d830d45af466677766d9450c3f3f,DIRECT_ARCHIVED_STATE
2026-07-09T17:55:11.744651+00:00,live,refresh,601.1849975585938,2.971797614887265,2.5574757832651467,0.41432183162211844,true,77.6,100.0,15.97,-1.6902760885111983,0.0,0.0,WAITLIST,backup/pre_candidate_pool_export_write_20260709_175553.tar.gz::data/_system/live_slots_state.json,2026-07-09T17:55:11+00:00,afce99ec52ee838e5b3afa20218489d8843365289bc0ef22499a9bbd5fe4765a,DIRECT_ARCHIVED_STATE
2026-07-09T17:56:00.865392+00:00,dashboard,component_export,601.1849975585938,2.971797614887265,2.5574757832651467,0.41432183162211844,true,77.6,100.0,15.97,-1.6902760885111983,0.0,0.0,PENDING,backup/pre_exit_wiring_universe_audit_20260709_182021.tar.gz::data/_system/real_dashboard_buy_candidates.json,2026-07-09T17:56:10+00:00,7a223b01b2ddabf318cdaddbb48a53c384ae3066c0d7d1e0fd47196539ec42c2,DIRECT_ARCHIVED_EXPORT
2026-07-10T10:01:08.341463+00:00,live,refresh,591.0,3.7730410953711333,2.5574757832651467,1.2155653121059866,true,78.1,100.0,15.99,-0.8890326080273299,0.0,0.0,PENDING,data/_system/real_dashboard_buy_candidates.json,2026-07-10T10:01:16.885191+00:00,d8651fd0312c932edf621e27eea5fe9d2d475224c0d53aea10f19e2c8b33df81,DIRECT_EXPORT
2026-07-11T14:06:51.178258+00:00,live_shadow,refresh,578.7999877929688,4.662073703398463,2.5574757832651467,2.104597920133316,true,73.84502206332408,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:01:36.489653+00:00,live_shadow,refresh,,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.84502206332408,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:02:23.709161+00:00,live_shadow,refresh,,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.8,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:02:39.262605+00:00,live_shadow,refresh,,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.8,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:08:25.146771+00:00,live_shadow,refresh,,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.8,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:16:07.465848+00:00,live_shadow,refresh,,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.8,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:19:01.420990+00:00,live_shadow,refresh,,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.8,,,0.0,,,ACTIVE,data/_system/analysis/shadow_direct_event/shadow_direct_event_20260711.jsonl,2026-07-11T17:19:08.091455+00:00,c938f41d386a9a7a96f59fb06a16ccf0e0737d51e9cd18df619ab9512a132d62,DIRECT_JSONL
2026-07-11T17:19:08.094292+00:00,live,current_state_at_forensic_read,579.0,5.533926668171177,2.5574757832651467,2.97645088490603,true,73.8,100.0,15.03,0.0,-0.10250000000000001,0.9694034979107185,ACTIVE,data/_system/live_slots_state.json,2026-07-12T05:48:08.969973+00:00,f0a44d663e877c6f77e5e202aa3833228b2359041aad530aab8779a357be4dc0,DIRECT_STATE_AT_READ
