Date,Open,High,Low,Close,Volume,source_path,source_mtime_utc,source_sha256
2026-05-14,436.549987793,440.529998779,426.859985352,429.579986572,346600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-15,420.989990234,423.940002441,408.049987793,408.929992676,522600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-18,414.459991455,419.980010986,402.25,404.260009766,429000,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-19,400.470001221,407.660003662,390,406.369995117,638600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-20,413.019989014,422.329986572,409.880004883,422.010009766,502400,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-21,420.880004883,440.25,416.890014648,438.320007324,679900,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-22,442.859985352,442.859985352,431.130004883,434.119995117,545400,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-26,444.339996338,461.390014648,440,453.690002441,742000,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-27,453.239990234,462.5,444.190002441,460.910003662,570600,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-28,461.570007324,467.5,452.75,462.010009766,534400,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-05-29,461.440002441,473.600006104,457.420013428,468.980010986,658300,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
2026-06-01,461.670013428,490.220001221,460.829986572,486.929992676,814100,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,2026-07-07T16:56:26.331753+00:00,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf
