item,value,evidence
active_selector_process,"PID 337946 live_candidate_slots.py daemon --interval 60","ps/pgrep"
selector_process_started_utc,"2026-07-10 13:30:03 UTC","ps lstart"
selector_process_cwd,"/home/g3000kkw/kingmaker","/proc/337946/cwd"
switch_commit,"e5cd786e9bd2e71830fa8d05c766b97dadad93fa","git show"
switch_commit_time_utc,"2026-07-11 12:09:28 UTC","git show %cI"
event_policy_file_mtime_utc,"2026-07-11 11:16:52 UTC","stat"
elite_switch_file_mtime_utc,"2026-07-11 11:29:46 UTC","stat"
last_daemon_restart_utc,"2026-07-10 13:30:04 UTC","live_candidate_slots_guard.log"
last_actual_candidate_refresh_utc,"2026-07-10 19:59:53 UTC","live_slots_events.jsonl"
current_date_gate,"not_us_weekday / REFRESH_SKIPPED","live_slots_events.jsonl"
shadow_total_rows,12,"shadow_direct_event_20260711.jsonl"
shadow_elite_shared_rows,0,"JSONL aggregation"
shadow_central_test_rows,10,"JSONL aggregation"
shadow_runner_test_rows,2,"JSONL aggregation"
run_live_process,"not running","pgrep"
s2_auto_process,"not running","pgrep"
elite_shadow_process,"not running","pgrep"
elite_strategy_sim_process,"not running","pgrep"
dashboard_api_process,"PID 325259 uvicorn api_server_candidate_only","ps/pgrep"
