candidate_id,mean_forward_max_return_pct,median_forward_max_return_pct,positive_count,positive_rate,regime,scope,signal_count,ticker
,3.664258207403326,2.5989016294111877,439,0.4470468431771894,stress,ALL,982,
,3.4717786012919474,2.306476115968037,614,0.38910012674271227,train,ALL,1578,
,4.138506185731597,2.946528555100547,428,0.49195402298850577,oos,ALL,870,
,3.6959966688324335,2.542095267007327,1481,0.4317784256559767,all,ALL,3430,
stage2:ALGT:402f72d48c3c,3.5632814524912084,3.0929659594141956,8,0.6153846153846154,stress,ENTITY,13,ALGT
stage2:ALGT:402f72d48c3c,3.2253692519958164,1.7496344013378629,13,0.41935483870967744,train,ENTITY,31,ALGT
stage2:ALGT:402f72d48c3c,6.836309600151198,5.047827773914837,13,0.7647058823529411,oos,ENTITY,17,ALGT
stage2:ALGT:402f72d48c3c,4.303710965521744,3.1082361320344365,34,0.5573770491803278,all,ENTITY,61,ALGT
stage2:CAT:a752666ee858,2.523194681310188,2.4474069005135157,8,0.4,stress,ENTITY,20,CAT
stage2:CAT:a752666ee858,2.2820287189391095,1.7072016610178098,10,0.2222222222222222,train,ENTITY,45,CAT
stage2:CAT:a752666ee858,2.920846186507727,1.8680803341885044,6,0.3157894736842105,oos,ENTITY,19,CAT
stage2:CAT:a752666ee858,2.4839436133584583,1.873696809469616,24,0.2857142857142857,all,ENTITY,84,CAT
stage2:CEF:fe84c0ad85d8,1.1658403619258144,0.9010917581291578,1,0.0625,stress,ENTITY,16,CEF
stage2:CEF:fe84c0ad85d8,0.9585813237558234,0.8141821759257595,3,0.075,train,ENTITY,40,CEF
stage2:CEF:fe84c0ad85d8,2.056440104367849,2.284986696682245,7,0.4666666666666667,oos,ENTITY,15,CEF
stage2:CEF:fe84c0ad85d8,1.2372295817825876,1.0055342839454307,11,0.15492957746478872,all,ENTITY,71,CEF
stage2:CMC:4f6ee2739add,2.447540503134152,2.7197336822526674,13,0.48148148148148145,stress,ENTITY,27,CMC
stage2:CMC:4f6ee2739add,2.6276514267649262,2.315087849549591,12,0.32432432432432434,train,ENTITY,37,CMC
stage2:CMC:4f6ee2739add,2.3444493275283214,1.2401314328800872,5,0.29411764705882354,oos,ENTITY,17,CMC
stage2:CMC:4f6ee2739add,2.508176974603776,2.2736758110389665,30,0.37037037037037035,all,ENTITY,81,CMC
stage2:FIX:cab7d458767d,2.0937389262069854,1.784566509422314,8,0.3333333333333333,stress,ENTITY,24,FIX
stage2:FIX:cab7d458767d,3.4458373461666802,1.9662898508063797,22,0.38596491228070173,train,ENTITY,57,FIX
stage2:FIX:cab7d458767d,5.739986854558427,3.5699294883518973,14,0.5833333333333334,oos,ENTITY,24,FIX
stage2:FIX:cab7d458767d,3.661163309236864,2.263493621151813,44,0.41904761904761906,all,ENTITY,105,FIX
stage2:MPC:8107accddd2c,1.7551470696716314,1.6477646451212857,4,0.26666666666666666,stress,ENTITY,15,MPC
stage2:MPC:8107accddd2c,2.3649787717248643,2.23328229216887,9,0.25,train,ENTITY,36,MPC
stage2:MPC:8107accddd2c,3.1656909486898686,3.157894736842115,8,0.5333333333333333,oos,ENTITY,15,MPC
stage2:MPC:8107accddd2c,2.4083606978411756,2.087719130357102,21,0.3181818181818182,all,ENTITY,66,MPC
stage2:PLXS:c33a9dcf246c,2.6720320281935286,1.9850626757396017,5,0.3125,stress,ENTITY,16,PLXS
stage2:PLXS:c33a9dcf246c,2.404041168677847,1.737181615780714,11,0.36666666666666664,train,ENTITY,30,PLXS
stage2:PLXS:c33a9dcf246c,3.300549096610085,2.816689592773347,6,0.4,oos,ENTITY,15,PLXS
stage2:PLXS:c33a9dcf246c,2.6947866223046417,1.9762795192978855,22,0.36065573770491804,all,ENTITY,61,PLXS
stage2:POWI:6c2e3e5c874b,3.3769685411401498,2.693041366773463,5,0.5,stress,ENTITY,10,POWI
stage2:POWI:6c2e3e5c874b,3.263357127486068,2.5807252442980433,10,0.37037037037037035,train,ENTITY,27,POWI
stage2:POWI:6c2e3e5c874b,4.19424542994902,2.4935837688341067,6,0.4,oos,ENTITY,15,POWI
stage2:POWI:6c2e3e5c874b,3.553730948130012,2.506049690458312,21,0.40384615384615385,all,ENTITY,52,POWI
stage3:AA:9bf08eb287d2,4.440636009085767,3.639488316367012,7,0.5833333333333334,stress,ENTITY,12,AA
stage3:AA:9bf08eb287d2,2.8167973237192125,2.5786811325150705,8,0.47058823529411764,train,ENTITY,17,AA
stage3:AA:9bf08eb287d2,4.38587227855383,3.8569064147473853,5,0.5555555555555556,oos,ENTITY,9,AA
