candidate_id,gene,oos_base_rate,oos_coverage,oos_lift_pp,oos_passed_count,oos_passed_positive_count,oos_positive_count,oos_precision,oos_reasons,oos_recall,oos_signal_count,stage,status,stress_base_rate,stress_coverage,stress_lift_pp,stress_passed_count,stress_passed_positive_count,stress_positive_count,stress_precision,stress_reasons,stress_recall,stress_signal_count,survivor,ticker,train_base_rate,train_coverage,train_fitness,train_lift_pp,train_oos_precision_gap,train_passed_count,train_passed_positive_count,train_positive_count,train_precision,train_reasons,train_recall,train_signal_count,train_stress_precision_gap
stage2:ALGT:402f72d48c3c,"{""fitness"": 114.49782878411911, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d2_pct"", ""q_high"": 0.2526091983647913, ""q_low"": 0.0, ""value_high"": -1.285688742490586, ""value_low"": -5.960377484835022}]}",0.7647058823529411,0.17647058823529413,-9.80392156862745,3,2,13,0.6666666666666666,"[""precision_lt_0.8147"", ""train_precision_gap_gt_0.20""]",0.15384615384615385,17,stage2,FAILED_GATE,0.6153846153846154,0.23076923076923078,-28.20512820512821,3,1,8,0.3333333333333333,"[""precision_lt_0.6654"", ""train_precision_gap_gt_0.20""]",0.125,13,False,ALGT,0.41935483870967744,0.25806451612903225,114.49782878411911,45.564516129032256,0.20833333333333337,8,7,13,0.875,[],0.5384615384615384,31,0.5416666666666667
stage2:CAT:a752666ee858,"{""fitness"": 86.33611111111111, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""pullback_from_high5_pct"", ""q_high"": 0.3846472350638771, ""q_low"": 0.23464723506387708, ""value_high"": 1.5510689106845648, ""value_low"": 0.9679587383740503}]}",0.3157894736842105,0.05263157894736842,-31.57894736842105,1,0,6,0.0,"[""passed_count_lt_3"", ""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.0,19,stage2,FAILED_GATE,0.4,0.05,-40.0,1,0,8,0.0,"[""passed_count_lt_3"", ""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.0,20,False,CAT,0.2222222222222222,0.17777777777777778,86.33611111111111,40.27777777777778,0.625,8,5,10,0.625,[],0.5,45,0.625
stage2:CEF:fe84c0ad85d8,"{""fitness"": 16.386538461538457, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d5_pct"", ""q_high"": 0.729755349021507, ""q_low"": 0.11488061936354456, ""value_high"": 0.9118740653448179, ""value_low"": -0.9082031239943622}, {""feature"": ""days_since_high5"", ""q_high"": 1.0, ""q_low"": 0.504612334291701, ""value_high"": 4.0, ""value_low"": 2.5415110086253097}]}",0.4666666666666667,0.13333333333333333,-46.666666666666664,2,0,7,0.0,"[""passed_count_lt_3"", ""precision_lt_0.5167"", ""train_precision_gap_gt_0.20""]",0.0,15,stage2,FAILED_GATE,0.0625,0.4375,-6.25,7,0,1,0.0,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.0,16,False,CEF,0.075,0.325,16.386538461538457,15.576923076923077,0.23076923076923078,13,3,3,0.23076923076923078,"[""precision_lt_0.5000""]",1.0,40,0.23076923076923078
stage2:CMC:4f6ee2739add,"{""fitness"": 117.14527027027027, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""up_days5"", ""q_high"": 0.942235511455487, ""q_low"": 0.4320078852473263, ""value_high"": 4.0, ""value_low"": 2.0}, {""feature"": ""single_up_day5_pct"", ""q_high"": 0.9848756564786685, ""q_low"": 0.5103219828043543, ""value_high"": 12.641062805673442, ""value_low"": 2.647763418137172}, {""feature"": ""fade_after_surge_score"", ""q_high"": 1.0, ""q_low"": 0.4940948861756383, ""value_high"": 15.05797902415168, ""value_low"": 1.4640310050151322}]}",0.29411764705882354,0.6470588235294118,6.951871657754011,11,4,5,0.36363636363636365,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.8,17,stage2,FAILED_GATE,0.48148148148148145,0.5555555555555556,-8.148148148148143,15,6,13,0.4,"[""precision_lt_0.5315"", ""train_precision_gap_gt_0.20""]",0.46153846153846156,27,False,CMC,0.32432432432432434,0.21621621621621623,117.14527027027027,55.067567567567565,0.5113636363636364,8,7,12,0.875,[],0.5833333333333334,37,0.475
stage2:FIX:cab7d458767d,"{""fitness"": 114.5156831472621, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""down_days5"", ""q_high"": 0.8548618811249984, ""q_low"": 0.08436599558938485, ""value_high"": 3.2194475244999925, ""value_low"": 0.9374639823575395}, {""feature"": ""pullback_from_high5_pct"", ""q_high"": 0.8836254428954002, ""q_low"": 0.7336254428954003, ""value_high"": 7.205683629287039, ""value_low"": 4.644370046075515}]}",0.5833333333333334,0.08333333333333333,-8.333333333333337,2,1,14,0.5,"[""passed_count_lt_3"", ""precision_lt_0.6333"", ""train_precision_gap_gt_0.20""]",0.07142857142857142,24,stage2,FAILED_GATE,0.3333333333333333,0.20833333333333334,-13.33333333333333,5,1,8,0.2,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.125,24,False,FIX,0.38596491228070173,0.15789473684210525,114.5156831472621,50.29239766081871,0.38888888888888884,9,8,22,0.8888888888888888,[],0.36363636363636365,57,0.6888888888888889
stage2:MPC:8107accddd2c,"{""fitness"": 103.38888888888889, ""recent_turn_down_mode"": 1, ""rules"": [{""feature"": ""down_days5"", ""q_high"": 0.8925226278400349, ""q_low"": 0.5739043747213076, ""value_high"": 4.0, ""value_low"": 3.0}, {""feature"": ""single_up_day5_pct"", ""q_high"": 0.4765849803610095, ""q_low"": 0.0, ""value_high"": 1.4707184860917772, ""value_low"": -0.2653499067599929}]}",0.5333333333333333,0.26666666666666666,-53.333333333333336,4,0,8,0.0,"[""precision_lt_0.5833"", ""train_precision_gap_gt_0.20""]",0.0,15,stage2,FAILED_GATE,0.26666666666666666,0.13333333333333333,23.333333333333332,2,1,4,0.5,"[""passed_count_lt_3"", ""train_precision_gap_gt_0.20""]",0.25,15,False,MPC,0.25,0.2222222222222222,103.38888888888889,50.0,0.75,8,6,9,0.75,[],0.6666666666666666,36,0.25
stage2:PLXS:c33a9dcf246c,"{""fitness"": 103.11414141414143, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""close_pos5"", ""q_high"": 1.0, ""q_low"": 0.5797679729223777, ""value_high"": 0.958438069321772, ""value_low"": 0.6046382559802043}, {""feature"": ""single_up_day5_pct"", ""q_high"": 1.0, ""q_low"": 0.5114926451847764, ""value_high"": 12.167643417149176, ""value_low"": 1.9777142522402509}]}",0.4,0.3333333333333333,0.0,5,2,6,0.4,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.3333333333333333,15,stage2,FAILED_GATE,0.3125,0.1875,2.0833333333333313,3,1,5,0.3333333333333333,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.2,16,False,PLXS,0.36666666666666664,0.3,103.11414141414143,41.111111111111114,0.37777777777777777,9,7,11,0.7777777777777778,[],0.6363636363636364,30,0.4444444444444445
stage2:POWI:6c2e3e5c874b,"{""fitness"": 99.46851851851854, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d1_pct"", ""q_high"": 0.5315862735839846, ""q_low"": 0.2897088589113146, ""value_high"": -0.8361080432530457, ""value_low"": -2.495817275283331}]}",0.4,0.0,-40.0,0,0,6,0.0,"[""passed_count_lt_3"", ""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.0,15,stage2,FAILED_GATE,0.5,0.2,0.0,2,1,5,0.5,"[""passed_count_lt_3"", ""precision_lt_0.5500"", ""train_precision_gap_gt_0.20""]",0.2,10,False,POWI,0.37037037037037035,0.2962962962962963,99.46851851851854,37.96296296296296,0.75,8,6,10,0.75,[],0.6,27,0.25
stage3:AA:9bf08eb287d2,"{""fitness"": 77.34852941176472, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d3_pct"", ""q_high"": 0.9843386792008009, ""q_low"": 0.4522032465927009, ""value_high"": 5.069394047950705, ""value_low"": -1.0012624205675784}]}",0.5555555555555556,0.4444444444444444,-5.555555555555558,4,2,5,0.5,"[""precision_lt_0.6056""]",0.4,9,stage3,FAILED_GATE,0.5833333333333334,0.5,-8.333333333333337,6,3,7,0.5,"[""precision_lt_0.6333""]",0.42857142857142855,12,False,AA,0.47058823529411764,0.47058823529411764,77.34852941176472,15.441176470588236,0.125,8,5,8,0.625,[],0.625,17,0.125
stage3:AAOI:5fa4b9dea9eb,"{""fitness"": 113.38340874811463, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d3_pct"", ""q_high"": 0.5935623731344408, ""q_low"": 0.0, ""value_high"": 0.8326316816041972, ""value_low"": -13.114754311939958}, {""feature"": ""single_up_day5_pct"", ""q_high"": 0.7251527562411755, ""q_low"": 0.010158817583270661, ""value_high"": 9.253630687868814, ""value_low"": -0.92548766997187}]}",0.7222222222222222,0.2222222222222222,-22.22222222222222,4,2,13,0.5,"[""precision_lt_0.7722"", ""train_precision_gap_gt_0.20""]",0.15384615384615385,18,stage3,FAILED_GATE,0.45454545454545453,0.5,9.090909090909088,11,6,10,0.5454545454545454,"[""train_precision_gap_gt_0.20""]",0.6,22,False,AAOI,0.6296296296296297,0.48148148148148145,113.38340874811463,29.34472934472935,0.42307692307692313,13,12,17,0.9230769230769231,[],0.7058823529411765,27,0.3776223776223777
