candidate_id,gene,oos_base_rate,oos_coverage,oos_lift_pp,oos_passed_count,oos_passed_positive_count,oos_positive_count,oos_precision,oos_reasons,oos_recall,oos_signal_count,stage,status,stress_base_rate,stress_coverage,stress_lift_pp,stress_passed_count,stress_passed_positive_count,stress_positive_count,stress_precision,stress_reasons,stress_recall,stress_signal_count,survivor,ticker,train_base_rate,train_coverage,train_fitness,train_lift_pp,train_oos_precision_gap,train_passed_count,train_passed_positive_count,train_positive_count,train_precision,train_reasons,train_recall,train_signal_count,train_stress_precision_gap
stage2:ALGT:402f72d48c3c,"{""fitness"": 97.33903724829314, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d4_pct"", ""q_high"": 0.6764476814173578, ""q_low"": 0.20048578088885358, ""value_high"": 1.1090277209550243, ""value_low"": -2.280060987189068}, {""feature"": ""ret_d3_pct"", ""q_high"": 0.6856118648752674, ""q_low"": 0.0, ""value_high"": 1.0033025592721994, ""value_low"": -12.382102662892846}, {""feature"": ""days_since_high5"", ""q_high"": 0.578670792351527, ""q_low"": 0.1994992758402918, ""value_high"": 2.472024754109162, ""value_low"": 0.0}]}",0.6363636363636364,0.13636363636363635,19.696969696969703,6,5,28,0.8333333333333334,[],0.17857142857142858,44,stage2,FAILED_GATE,0.40229885057471265,0.16091954022988506,-4.51559934318555,14,5,35,0.35714285714285715,"[""precision_lt_0.4523"", ""train_precision_gap_gt_0.20""]",0.14285714285714285,87,False,ALGT,0.3945578231292517,0.1292517006802721,97.33903724829314,39.491586108127464,-0.04385964912280704,19,15,58,0.7894736842105263,[],0.25862068965517243,147,0.4323308270676692
stage2:CAT:a752666ee858,"{""fitness"": 63.7039627039627, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d5_pct"", ""q_high"": 0.6211756569999136, ""q_low"": 0.07445185515613449, ""value_high"": 0.7318793040633534, ""value_low"": -1.5870260264870613}, {""feature"": ""single_up_day5_pct"", ""q_high"": 0.5376295366480829, ""q_low"": 0.08137941993174054, ""value_high"": 1.5304601059100378, ""value_low"": 0.47959879280376183}, {""feature"": ""fade_after_surge_score"", ""q_high"": 0.9671651896430762, ""q_low"": 0.3853893126453394, ""value_high"": 6.314758230396057, ""value_low"": 1.3216067124392654}]}",0.4375,0.15625,-3.749999999999998,5,2,14,0.4,"[""precision_lt_0.4875""]",0.14285714285714285,32,stage2,FAILED_GATE,0.1864406779661017,0.13559322033898305,-6.1440677966101696,8,1,11,0.125,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.09090909090909091,59,False,CAT,0.1282051282051282,0.14102564102564102,63.7039627039627,32.634032634032636,0.05454545454545451,11,5,10,0.45454545454545453,"[""precision_lt_0.5000""]",0.5,78,0.32954545454545453
stage2:CEF:fe84c0ad85d8,"{""fitness"": 16.790267028647833, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d1_pct"", ""q_high"": 0.8201571683006943, ""q_low"": 0.668605879963015, ""value_high"": 0.9642161196126344, ""value_low"": 0.41833821372318614}, {""feature"": ""down_days5"", ""q_high"": 0.5959645984549862, ""q_low"": 0.16389112503074796, ""value_high"": 3.0, ""value_low"": 1.6389112503074794}]}",0.20634920634920634,0.1111111111111111,-6.349206349206349,7,1,13,0.14285714285714285,"[""precision_lt_0.4500""]",0.07692307692307693,63,stage2,FAILED_GATE,0.09090909090909091,0.11688311688311688,2.0202020202020194,18,2,14,0.1111111111111111,"[""precision_lt_0.4500""]",0.14285714285714285,154,False,CEF,0.09698996655518395,0.12374581939799331,16.790267028647833,20.030733074211337,0.15444015444015446,37,11,29,0.2972972972972973,"[""precision_lt_0.5000""]",0.3793103448275862,299,0.1861861861861862
stage2:CMC:4f6ee2739add,"{""fitness"": 70.21302681992337, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d3_pct"", ""q_high"": 0.533272633265871, ""q_low"": 0.10202954659062392, ""value_high"": -0.17652475032531098, ""value_low"": -1.9910728401195037}, {""feature"": ""days_since_high5"", ""q_high"": 0.7943374227652236, ""q_low"": 0.4574604826979541, ""value_high"": 3.9575306707391764, ""value_low"": 1.7447628961877246}, {""feature"": ""single_up_day5_pct"", ""q_high"": 0.9940561418662925, ""q_low"": 0.22816871501078767, ""value_high"": 11.47170562943555, ""value_low"": 0.9682460604188298}]}",0.4126984126984127,0.06349206349206349,8.730158730158733,4,2,26,0.5,"[""passed_count_lt_7""]",0.07692307692307693,63,stage2,FAILED_GATE,0.5308641975308642,0.06172839506172839,6.913580246913575,5,3,43,0.6,"[""passed_count_lt_9""]",0.06976744186046512,81,False,CMC,0.2482758620689655,0.12413793103448276,70.21302681992337,30.727969348659006,0.05555555555555558,18,10,36,0.5555555555555556,[],0.2777777777777778,145,-0.0444444444444444
stage2:FIX:cab7d458767d,"{""fitness"": 61.667249553949055, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""down_days5"", ""q_high"": 0.9478927590131566, ""q_low"": 0.3106426979181931, ""value_high"": 4.0, ""value_low"": 2.0}, {""feature"": ""days_since_high5"", ""q_high"": 0.5429991337763597, ""q_low"": 0.3929991337763597, ""value_high"": 2.257994802658158, ""value_low"": 1.3579948026581583}]}",0.660377358490566,0.11320754716981132,33.9622641509434,6,6,35,1.0,[],0.17142857142857143,53,stage2,FAILED_GATE,0.3333333333333333,0.1388888888888889,-3.3333333333333326,20,6,48,0.3,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.125,144,False,FIX,0.3072100313479624,0.14106583072100312,61.667249553949055,20.39010797631487,-0.48888888888888893,45,23,98,0.5111111111111111,[],0.23469387755102042,319,0.21111111111111108
stage2:MPC:8107accddd2c,"{""fitness"": 97.9689006750241, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d5_pct"", ""q_high"": 0.9172826679327755, ""q_low"": 0.42833792516178193, ""value_high"": 2.3834579509192158, ""value_low"": 0.046092604451835495}, {""feature"": ""ret_d1_pct"", ""q_high"": 1.0, ""q_low"": 0.5571697501756412, ""value_high"": 3.2705511724703262, ""value_low"": 0.3895660087462532}, {""feature"": ""single_up_day5_pct"", ""q_high"": 1.0, ""q_low"": 0.5294553154219652, ""value_high"": 6.7414990898703175, ""value_low"": 1.8062462021546108}]}",0.32,0.2,8.000000000000002,5,2,8,0.4,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.25,25,stage2,FAILED_GATE,0.45161290322580644,0.16129032258064516,-5.1612903225806415,5,2,14,0.4,"[""precision_lt_0.5016"", ""train_precision_gap_gt_0.20""]",0.14285714285714285,31,False,MPC,0.2786885245901639,0.13114754098360656,97.9689006750241,47.13114754098361,0.35,8,6,17,0.75,[],0.35294117647058826,61,0.35
stage2:PLXS:c33a9dcf246c,"{""fitness"": 19.821634166580232, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d4_pct"", ""q_high"": 1.0, ""q_low"": 0.4299452781680621, ""value_high"": 11.57123946228895, ""value_low"": -0.2263499210340832}, {""feature"": ""up_days5"", ""q_high"": 0.594483509694342, ""q_low"": 0.33528491695075596, ""value_high"": 3.0, ""value_low"": 2.011709501704536}, {""feature"": ""down_days5"", ""q_high"": 1.0, ""q_low"": 0.454309032818783, ""value_high"": 5.0, ""value_low"": 2.0}, {""feature"": ""fade_after_surge_score"", ""q_high"": 0.7656389936840575, ""q_low"": 0.2747902799806719, ""value_high"": 3.113630779531365, ""value_low"": 0.9970094445066078}]}",0.5208333333333334,0.0625,14.583333333333325,3,2,25,0.6666666666666666,"[""passed_count_lt_5""]",0.08,48,stage2,FAILED_GATE,0.2727272727272727,0.13986013986013987,-7.27272727272727,20,4,39,0.2,"[""precision_lt_0.4500""]",0.10256410256410256,143,False,PLXS,0.19935691318327975,0.12861736334405144,19.821634166580232,17.564308681672024,-0.29166666666666663,40,15,62,0.375,"[""precision_lt_0.5000""]",0.24193548387096775,311,0.175
stage2:POWI:6c2e3e5c874b,"{""fitness"": 104.97442031652558, ""recent_turn_down_mode"": 2, ""rules"": [{""feature"": ""ret_d5_pct"", ""q_high"": 0.6561712230496437, ""q_low"": 0.036240247085144665, ""value_high"": 0.6175922549994999, ""value_low"": -3.3061951002379026}, {""feature"": ""days_since_high5"", ""q_high"": 0.4638100643036876, ""q_low"": 0.1975983055655329, ""value_high"": 1.7828603858221257, ""value_low"": 0.0}]}",0.21428571428571427,0.07142857142857142,-21.428571428571427,1,0,3,0.0,"[""passed_count_lt_3"", ""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.0,14,stage2,FAILED_GATE,0.2903225806451613,0.03225806451612903,-29.03225806451613,1,0,9,0.0,"[""passed_count_lt_4"", ""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.0,31,False,POWI,0.34210526315789475,0.14473684210526316,104.97442031652558,47.60765550239235,0.8181818181818182,11,9,26,0.8181818181818182,[],0.34615384615384615,76,0.8181818181818182
stage3:AA:9bf08eb287d2,,,,,,,,,,,3,stage3,INSUFFICIENT_TRAIN_SIGNALS,,,,,,,,,,2,False,AA,,,,,,,,,,,,5,
stage3:AAOI:5fa4b9dea9eb,"{""fitness"": 114.15939849624061, ""recent_turn_down_mode"": 0, ""rules"": [{""feature"": ""ret_d5_pct"", ""q_high"": 1.0, ""q_low"": 0.2529766489723437, ""value_high"": 7.810501126550684, ""value_low"": -2.709524857220243}]}",0.8571428571428571,0.2857142857142857,14.28571428571429,2,2,6,1.0,"[""passed_count_lt_3""]",0.3333333333333333,7,stage3,FAILED_GATE,0.4,0.8666666666666667,-1.5384615384615385,13,5,6,0.38461538461538464,"[""precision_lt_0.4500"", ""train_precision_gap_gt_0.20""]",0.8333333333333334,15,False,AAOI,0.9047619047619048,0.7142857142857143,114.15939849624061,9.523809523809524,0.0,15,15,19,1.0,"[""precision_lt_1.0048""]",0.7894736842105263,21,0.6153846153846154
