candidate_id,stage,ticker,evaluated_sessions,replay_should_buy_count,logged_entry_signal_count,overlap_count,additional_replay_only_count,logged_not_replayed_count,replay_to_logged_ratio,overlap_rate_vs_logged,overlap_rate_vs_replay
stage3:CAPR:a51d615a0ff1,stage3,CAPR,1367,347,94,55,292,39,3.6914893617021276,0.5851063829787234,0.1585014409221902
stage3:BBIO:82c4a7aa36a9,stage3,BBIO,1368,111,77,19,92,58,1.4415584415584415,0.24675324675324675,0.17117117117117117
stage3:CSIQ:030ce2015af8,stage3,CSIQ,1367,669,77,41,628,36,8.688311688311689,0.5324675324675324,0.061285500747384154
stage3:ANET:fe220620802b,stage3,ANET,1368,165,81,12,153,69,2.037037037037037,0.14814814814814814,0.07272727272727272
stage3:AMD:a01b055a1d13,stage3,AMD,1367,59,60,4,55,56,0.9833333333333333,0.06666666666666667,0.06779661016949153
stage2:FIX:cab7d458767d,stage2,FIX,1368,516,105,58,458,47,4.914285714285715,0.5523809523809524,0.1124031007751938
stage2:ALGT:402f72d48c3c,stage2,ALGT,1367,279,61,32,247,29,4.573770491803279,0.5245901639344263,0.11469534050179211
stage2:CMC:4f6ee2739add,stage2,CMC,1367,289,81,29,260,52,3.567901234567901,0.35802469135802467,0.10034602076124567
stage3:AEVA:3c4e598fa5c7,stage3,AEVA,1368,571,53,39,532,14,10.773584905660377,0.7358490566037735,0.06830122591943957
stage3:AAOI:5fa4b9dea9eb,stage3,AAOI,1368,43,67,6,37,61,0.6417910447761194,0.08955223880597014,0.13953488372093023
stage3:BE:b07b2e49fef8,stage3,BE,1368,210,50,13,197,37,4.2,0.26,0.06190476190476191
stage3:AVAV:3d66945d7c65,stage3,AVAV,1367,718,42,35,683,7,17.095238095238095,0.8333333333333334,0.04874651810584958
stage3:CVNA:8d8594e95b89,stage3,CVNA,1368,711,84,61,650,23,8.464285714285714,0.7261904761904762,0.08579465541490858
stage3:AMSC:57bf3f342f43,stage3,AMSC,1367,621,72,50,571,22,8.625,0.6944444444444444,0.08051529790660225
stage3:AXON:25b116de3cd4,stage3,AXON,1367,744,32,21,723,11,23.25,0.65625,0.028225806451612902
stage3:CIEN:2ed675d30868,stage3,CIEN,1367,73,63,1,72,62,1.1587301587301588,0.015873015873015872,0.0136986301369863
stage3:AVGO:e4fd3cee2402,stage3,AVGO,1367,73,48,6,67,42,1.5208333333333333,0.125,0.0821917808219178
stage3:ARKW:296c057b4ef7,stage3,ARKW,1368,135,41,12,123,29,3.292682926829268,0.2926829268292683,0.08888888888888889
