candidate_id,ticker,current_pool_rank,price,final_score,threshold,q_score,q_lt45,allow,primary_reason,size_factor,event_off_status,v3_status,boil_status,additional_drop_after_event_v3_boil,replay_status,note
stage3:ADMA:42437a3ee595,ADMA,1,9.19,8.9372972088457,2.179290624723338,32,true,false,failed_follow_through_q_lt_45,1.0,SURVIVE,PASS,PASS,true,INFERRED_CURRENT_REPLAY,"current OHLCV and current stored price"
stage3:CRS:8695c9ce3320,CRS,2,579.0,5.533926668171177,2.5574757832651467,0,true,false,failed_follow_through_q_lt_45,1.0,SURVIVE,PASS,PASS,true,INFERRED_CURRENT_REPLAY,"current replay q=0; first-signal replay q=31 from prior forensics"
stage3:ALGT:aec5dd5b1dc1,ALGT,3,112.96,5.08707749391322,2.2937281833052667,53,false,true,passed,1.0,SURVIVE,PASS,PASS,false,INFERRED_CURRENT_REPLAY,
stage3:AEIS:6e26f08a7c6d,AEIS,4,308.64,4.70688309081869,1.6391176454145713,58,false,true,passed,1.0,SURVIVE,PASS,PASS,false,INFERRED_CURRENT_REPLAY,
stage3:ARKW:296c057b4ef7,ARKW,5,148.51,4.527388412666307,2.563383325529843,37,true,false,failed_follow_through_q_lt_45,1.0,SURVIVE,PASS,PASS,true,INFERRED_CURRENT_REPLAY,
stage3:CBRL:677767a0b6a9,CBRL,6,50.42,4.383103532956284,1.904703742771071,75,false,true,passed,1.0,SURVIVE,PASS,PASS,false,INFERRED_CURRENT_REPLAY,
stage3:BTU:ecfcb41f1be2,BTU,7,23.35,3.555036609814084,2.380004306794464,39,true,false,failed_follow_through_q_lt_45,1.0,NOT_IN_20260711_EVENT_V3_BOIL_SAMPLE,NOT_IN_SAMPLE,NOT_IN_SAMPLE,UNKNOWN,INFERRED_CURRENT_REPLAY,
stage3:BB:f1bdfe7f8ad9,BB,8,10.9494,3.2003337347880967,2.791951174195162,6,true,false,failed_follow_through_q_lt_45,1.0,SURVIVE,PASS,PASS,true,INFERRED_CURRENT_REPLAY,
stage3:BN:d264957fe5f6,BN,9,43.85,3.0183079336179097,2.6480219613592295,65,false,true,passed,1.0,SURVIVE,PASS,PASS,false,INFERRED_CURRENT_REPLAY,
stage3:ACMR:44c1e02681c4,ACMR,10,104.0,1.8020988979298447,1.672152226421145,72,false,true,high_vol_or_low_price_size_cap,0.5,DROP,PASS,PASS,false,INFERRED_CURRENT_REPLAY,"not q-blocked; already Event OFF drop"
