split,eq_group,n,win_rate_pct,avg_net_pct,sum_net_pct,net_per_day_pct,avg_MAE_pct,worst_MAE_pct,grouping,eq_grade,eq_label
IS,ALLOW,11757,53.2618865357,0.937955152476,11027.5387277,-0.036164426947,-6.43362284357,-73.2888153404,allow_vs_block,,
IS,BLOCK,19300,53.481865285,1.15478442329,22287.3393695,0.00354201667478,-6.50494115974,-47.8415590757,allow_vs_block,,
OOS,ALLOW,5690,61.230228471,3.2164587717,18301.650411,0.231820915528,-6.32581920867,-81.878475308,allow_vs_block,,
OOS,BLOCK,7225,59.6124567474,3.27180413728,23638.7848918,0.274436476927,-6.55397953395,-52.0930236094,allow_vs_block,,
IS,,18637,53.5386596555,1.15535634654,21532.3762304,0.00151498585623,-6.45708015409,-47.8415590757,grade4,FAILED,
IS,,3124,53.9052496799,1.0761794032,3361.98445559,0.00148725224013,-6.19026711043,-47.6284230727,grade4,HEALTHY,
IS,,5572,52.7638190955,0.821321582909,4576.40385997,-0.0572240772224,-6.93183822549,-73.2888153404,grade4,STRONG,
IS,,3724,53.2223415682,1.0322539074,3844.11355115,-0.0190259545944,-6.14454035382,-46.207741424,grade4,WEAK,
OOS,,6910,59.7829232996,3.28545529403,22702.4960817,0.294844133889,-6.49649639923,-52.0930236094,grade4,FAILED,
OOS,,1434,63.4588563459,3.31882478062,4759.19473541,0.257226963006,-6.00590547913,-47.7514785619,grade4,HEALTHY,
OOS,,2885,59.8960138648,3.35492276912,9678.95218892,0.249366335776,-6.80532107265,-81.878475308,grade4,STRONG,
OOS,,1686,60.6168446026,2.84685189604,4799.79229673,0.104511415371,-6.05563674955,-49.0478940416,grade4,WEAK,
IS,,18637,53.5386596555,1.15535634654,21532.3762304,0.00151498585623,-6.45708015409,-47.8415590757,label,,FAILED_FOLLOW_THROUGH
IS,,3124,53.9052496799,1.0761794032,3361.98445559,0.00148725224013,-6.19026711043,-47.6284230727,label,,HEALTHY_FOLLOW_THROUGH
IS,,5572,52.7638190955,0.821321582909,4576.40385997,-0.0572240772224,-6.93183822549,-73.2888153404,label,,STRONG_FOLLOW_THROUGH
IS,,3724,53.2223415682,1.0322539074,3844.11355115,-0.0190259545944,-6.14454035382,-46.207741424,label,,WEAK_FOLLOW_THROUGH
OOS,,6910,59.7829232996,3.28545529403,22702.4960817,0.294844133889,-6.49649639923,-52.0930236094,label,,FAILED_FOLLOW_THROUGH
OOS,,1434,63.4588563459,3.31882478062,4759.19473541,0.257226963006,-6.00590547913,-47.7514785619,label,,HEALTHY_FOLLOW_THROUGH
OOS,,2885,59.8960138648,3.35492276912,9678.95218892,0.249366335776,-6.80532107265,-81.878475308,label,,STRONG_FOLLOW_THROUGH
OOS,,1686,60.6168446026,2.84685189604,4799.79229673,0.104511415371,-6.05563674955,-49.0478940416,label,,WEAK_FOLLOW_THROUGH
