source,ticker,candidate_id,opened_at,closed_at,entry_quality_label,eq_grade,entry_quality_score,entry_quality_primary_reason,pnl_pct,max_loss_pct,max_profit_pct,notional,exit_reason,eq_allow_inferred
elite_shadow_trades,ALGT,stage2:ALGT:402f72d48c3c,2026-07-01T13:40:52.328864+00:00,2026-07-02T00:34:26.635197+00:00,STRONG_FOLLOW_THROUGH,STRONG,98,passed,0.633389337636,0,3.86791154464,5000,shadow_profit_giveback_3,True
elite_shadow_trades,ACMR,stage3:ACMR:44c1e02681c4,2026-07-01T13:41:06.775612+00:00,2026-07-02T00:34:26.642230+00:00,STRONG_FOLLOW_THROUGH,STRONG,82,passed,-1.15306843995,-3.29632367759,5.5596046097,5000,shadow_profit_giveback_5,True
elite_shadow_trades,AGX,stage3:AGX:35fe3ac7dd2c,2026-07-01T14:02:27.049667+00:00,2026-07-02T00:34:26.645882+00:00,HEALTHY_FOLLOW_THROUGH,HEALTHY,63,passed,-1.74986935655,-3.13192679918,0.161732546983,5000,shadow_healthy_weak_cut,True
elite_shadow_trades,AMBA,stage3:AMBA:5e057e3cfc2d,2026-07-01T13:40:57.384743+00:00,2026-07-02T00:34:26.649449+00:00,STRONG_FOLLOW_THROUGH,STRONG,100,high_vol_or_low_price_size_cap,5.18361405872,0,11.911288347,2500,shadow_profit_giveback_8,True
elite_shadow_trades,APH,stage3:APH:c7885deba35c,2026-07-01T13:40:58.700574+00:00,2026-07-02T00:34:26.656146+00:00,STRONG_FOLLOW_THROUGH,STRONG,93,passed,2.47301921692,0,4.96969821224,5000,shadow_q90_quality_weakened,True
elite_shadow_trades,BB,stage3:BB:f1bdfe7f8ad9,2026-07-01T13:41:02.197363+00:00,2026-07-02T00:34:26.672062+00:00,STRONG_FOLLOW_THROUGH,STRONG,98,high_vol_or_low_price_size_cap,-1.5546037674,-1.78779282027,5.24757356043,2500,shadow_profit_giveback_5,True
elite_shadow_trades,BE,stage3:BE:b07b2e49fef8,2026-07-01T13:40:53.376085+00:00,2026-07-02T00:34:26.675623+00:00,STRONG_FOLLOW_THROUGH,STRONG,88,high_vol_or_low_price_size_cap,-4.14191743859,-6.38782638461,3.64715968741,3500,shadow_profit_giveback_3,True
elite_shadow_trades,BIDU,stage3:BIDU:926c6f7918c9,2026-07-01T13:40:59.229306+00:00,2026-07-02T00:34:26.678959+00:00,STRONG_FOLLOW_THROUGH,STRONG,96,passed,1.6738554345,0,7.30094768138,5000,shadow_profit_giveback_5,True
elite_shadow_trades,BKSY,stage3:BKSY:f1bcc8efea02,2026-07-01T13:46:20.690906+00:00,2026-07-02T00:34:26.682401+00:00,HEALTHY_FOLLOW_THROUGH,HEALTHY,74,high_vol_or_low_price_size_cap,-0.619618732488,-1.96213167652,4.26850847171,2500,shadow_profit_giveback_3,True
elite_shadow_trades,BMA,stage3:BMA:0c978464f9dd,2026-07-01T13:40:57.861079+00:00,2026-07-02T00:34:26.685807+00:00,HEALTHY_FOLLOW_THROUGH,HEALTHY,65,event_heavy_size_cap,-3.46052292292,-4.94052677272,0,3000,shadow_failed_followthrough,True
elite_shadow_trades,CDE,stage3:CDE:ceb9fe0512dc,2026-07-01T13:46:19.493483+00:00,2026-07-02T00:34:26.698559+00:00,HEALTHY_FOLLOW_THROUGH,HEALTHY,63,passed,-1.31421609394,-2.03106198188,2.1206663506,5000,shadow_profit_lock_2,True
elite_shadow_trades,CGC,stage3:CGC:650b7578c8c7,2026-07-01T15:06:16.114238+00:00,2026-07-02T00:34:26.702150+00:00,HEALTHY_FOLLOW_THROUGH,HEALTHY,66,high_vol_or_low_price_size_cap,-3.46907813459,-4.60532752738,0.553043609804,2500,shadow_failed_followthrough,True
