item,value,status,classification,evidence,notes
candidate_id,stage3:CRS:8695c9ce3320,RECOVERED,IDENTITY,data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,"stage3: prefix is pipeline lineage, not S3 exit variant"
first_signal_time_et,2026-07-09T13:20:33.590054-04:00,RECOVERED,SIGNAL,data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,
first_signal_price,600.8599853515625,RECOVERED,SIGNAL,data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,
first_final_score,2.971797614887265,RECOVERED,SELECTION,data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,
individual_signal_threshold,2.5574757832651467,RECOVERED,SELECTION,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/final_rulebooks.jsonl,"CRS-specific GA threshold"
first_threshold_margin,0.41432183162211844,RECOVERED,SELECTION,data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,"official pass reason"
first_score_threshold_ratio,1.1620042052140767,DERIVED_CONFIRMED,SELECTION,"first score / threshold","candidate passed because ratio >1"
S1S2S3_variant_gate_applied,false,CONFIRMED,SELECTION,"live_candidate_slots.py:343-465; no variant fields in state","CRS was not selected by S1/S2/S3 exit experiment"
five_day_predictor_gate_applied,false,CONFIRMED,SELECTION,data/_system/analysis/two_day_target_logic_forensics_20260712/readout.md,"no predictor artifact/live call site"
MA5,600.9259887695313,PARTIALLY_RECOVERED,FIVE_DAY_STATE,data/_system/analysis/crs_5d_gate_forensics_20260712/crs_signal_five_day_values.csv,"historical OHLC frame reconstructed"
price_vs_MA5_pct,-0.010983618482518498,PARTIALLY_RECOVERED,FIVE_DAY_STATE,data/_system/analysis/crs_5d_gate_forensics_20260712/crs_signal_five_day_values.csv,
high5,625.989990234375,PARTIALLY_RECOVERED,FIVE_DAY_STATE,data/_system/analysis/crs_5d_gate_forensics_20260712/crs_signal_five_day_values.csv,
low5,576.1599731445312,PARTIALLY_RECOVERED,FIVE_DAY_STATE,data/_system/analysis/crs_5d_gate_forensics_20260712/crs_signal_five_day_values.csv,
range_position_pct,49.56854050942229,PARTIALLY_RECOVERED,FIVE_DAY_STATE,data/_system/analysis/crs_5d_gate_forensics_20260712/crs_signal_five_day_values.csv,
ret_5d_pct,-2.590629791871546,PARTIALLY_RECOVERED,FIVE_DAY_STATE,data/_system/analysis/crs_5d_gate_forensics_20260712/crs_signal_five_day_values.csv,
MA_alignment_score_contribution,1.073432530260209,RECOVERED,FIVE_DAY_SCORE,data/_system/analysis/crs_5d_gate_forensics_20260712/score_contribution_breakdown.csv,"only official price-state contribution involving MA5"
Volume_MA5_score_contribution,0.0,RECOVERED,FIVE_DAY_SCORE,data/_system/analysis/crs_5d_gate_forensics_20260712/score_contribution_breakdown.csv,
exact_two_day_three_pct_prediction,,NOT_STORED,PREDICTION,"no field/artifact/call site","UNRECOVERABLE because the selector was not implemented in the live path"
exact_two_day_three_pct_pass_fail,,NOT_APPLICABLE,PREDICTION,"selector NOT_FOUND","cannot infer approval from later price path"
offline_IS_trade_rows,737,RECOVERED,OFFLINE_VARIANT_REFERENCE,data/_system/analysis/perday_perstock_20260707/per_trade_strategies.csv,"reference only; not used live"
offline_IS_S1_mean_net_per_day_pct,0.7668573604164047,DERIVED_CONFIRMED,OFFLINE_VARIANT_REFERENCE,data/_system/analysis/perday_perstock_20260707/per_trade_strategies.csv,
offline_IS_S2_mean_net_per_day_pct,0.7668573604163967,DERIVED_CONFIRMED,OFFLINE_VARIANT_REFERENCE,data/_system/analysis/perday_perstock_20260707/per_trade_strategies.csv,
offline_IS_S3_mean_net_per_day_pct,0.9153286718749454,DERIVED_CONFIRMED,OFFLINE_VARIANT_REFERENCE,data/_system/analysis/perday_perstock_20260707/per_trade_strategies.csv,
offline_IS_best_variant,S3,DERIVED_CONFIRMED,OFFLINE_VARIANT_REFERENCE,data/_system/analysis/perday_perstock_20260707/per_trade_strategies.csv,"this assignment was not wired into candidate selection or live exit state"
final_CRS_pass_reason,"final_score 2.971797614887265 >= threshold 2.5574757832651467",RECOVERED,VERDICT,data/_system/analysis/crs_full_forensics_20260711/readout.md,"not a five-day to two-day +3% predictor decision"
