ticker,model_hash,origin_train_label,gene_type,group,feature,feature_definition,low_norm,high_norm,width_norm,low_value,high_value,min_width_pass,bilateral,fallback_applied_any_generation,fallback_event_count,group_threshold,group_size,g3_member_floor_norm,fitness_consistency_lambda,stress_role,lambda_source,threshold_min_allowed,threshold_max_allowed,threshold_floor_valid
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G1_PULLBACK,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),0.3574008969116272,0.9235172514081658,0.5661163544965385,25.610407317108265,66.14986943188825,True,True,True,14.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G1_PULLBACK,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,0.0272419795171278,0.35141661912626,0.3241746396091322,1.0853756305848254,14.00114974546331,True,True,True,24.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G1_PULLBACK,inv_close_pos5,1 - D-1 close의 D-5~D-1 range 위치,0.1439555901096403,0.7325063473527165,0.5885507572430762,0.1459647475276539,0.7331341615762293,True,True,True,23.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G1_PULLBACK,inv_ret_d1_pct,-(D-2 close 대비 D-1 close 수익률 %),0.0068962318753473,0.9478638498075946,0.9409676179322471,-4.928519653996492,32.937602865241935,True,True,True,17.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G2_VOLATILITY,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),0.2529089294712538,0.7737800731535858,0.5208711436823319,0.4895965985043256,3.7778931626489456,True,True,True,22.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G2_VOLATILITY,atr14_pct,100*ATR14[D-1]/Close[D-1],0.05,0.9988352368636628,0.9488352368636628,2.448943057361326,8.28607423647972,True,True,True,30.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G2_VOLATILITY,realized_vol20_pct,D-20~D-1 일수익률 sample std(%),0.0303879745624463,0.9792361838346432,0.9488482092721968,1.360105819096827,8.071112621649291,True,True,True,24.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G2_VOLATILITY,bb_width20_pct,100*(BB upper-BB lower)/BB middle at D-1,0.0864540840811652,0.6912501109140571,0.6047960268328919,15.712872943514174,80.36416163898353,True,True,True,25.0,,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G3_RANGE_EXPANSION,true_range_d1_pct,D-1 true range / D-1 close(%),0.1779399701019609,0.9908247187799892,0.8128847486780284,10.444219964111433,53.83863234151303,True,True,True,17.0,,3,0.015009759672486033,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G3_RANGE_EXPANSION,range_vs_atr14,D-1 high-low / ATR14[D-1],0.2247061483213055,0.815744073953753,0.5910379256324475,0.6398801435669939,1.5814663663148694,True,True,True,21.0,,3,0.1726043842598029,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G3_RANGE_EXPANSION,range_vs_range20,D-1 range% / D-21~D-2 mean range%,0.0433218980068643,0.9546416044389322,0.911319706432068,0.5312528945311229,4.376331979681675,True,True,True,17.0,,3,0.06919934695283236,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G4_VOLUME_CONFIRMATION,volume_ratio5_prior,D-1 volume / D-6~D-2 mean volume,0.0408810429982141,0.7917174632800843,0.7508364202818701,0.9199527649850244,12.01843105718974,True,True,True,23.0,,3,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G4_VOLUME_CONFIRMATION,volume_ratio20_prior,D-1 volume / D-21~D-2 mean volume,0.1858006644247312,0.7520171615893463,0.566216497164615,4.128052099557896,15.828795934587058,True,True,True,23.0,,3,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,FEATURE_INTERVAL,G4_VOLUME_CONFIRMATION,volume_chg1_pct,100*(D-1 volume/D-2 volume-1),0.012836062789238,0.8561725909688007,0.8433365281795626,-59.99643872536776,742.4385621472787,True,True,True,21.0,,3,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,,,
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,GROUP_THRESHOLD,G1_PULLBACK,,unweighted feature-pass count required for group pass,,,,,,,,,,3.0,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,2.0,3.0,1.0
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,GROUP_THRESHOLD,G2_VOLATILITY,,unweighted feature-pass count required for group pass,,,,,,,,,,3.0,4,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,2.0,3.0,1.0
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,GROUP_THRESHOLD,G3_RANGE_EXPANSION,,unweighted feature-pass count required for group pass,,,,,,,,,,2.0,3,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,2.0,2.0,1.0
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,GROUP_THRESHOLD,G4_VOLUME_CONFIRMATION,,unweighted feature-pass count required for group pass,,,,,,,,,,2.0,3,,0.2,FITNESS_SCORER_ONLY,RUNTIME_CONSTANT_ONLY,2.0,2.0,1.0
