ticker,model_hash,origin_train_label,regime,group,members,group_size,learned_threshold,threshold_valid,group_passed_rows,final_entry_rows,count_distribution,g3_floor_percentile,g3_floor_norm,threshold_min_allowed,threshold_max_allowed,threshold_floor_valid,full_group_threshold_present
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,train,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,87,20,"{""0"": 1, ""1"": 42, ""2"": 121, ""3"": 87, ""4"": 0}",,,2,3,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,train,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,88,20,"{""0"": 8, ""1"": 67, ""2"": 88, ""3"": 51, ""4"": 37}",,,2,3,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,train,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,172,20,"{""0"": 21, ""1"": 50, ""2"": 179, ""3"": 1}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,train,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,247,20,"{""0"": 1, ""1"": 3, ""2"": 232, ""3"": 15}",,,2,2,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,stress,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,204,30,"{""0"": 2, ""1"": 61, ""2"": 233, ""3"": 204, ""4"": 0}",,,2,3,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,stress,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,95,30,"{""0"": 10, ""1"": 244, ""2"": 151, ""3"": 65, ""4"": 30}",,,2,3,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,stress,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,347,30,"{""0"": 39, ""1"": 51, ""2"": 410, ""3"": 0}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,stress,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,491,30,"{""0"": 0, ""1"": 9, ""2"": 464, ""3"": 27}",,,2,2,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,oos,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,103,56,"{""0"": 3, ""1"": 55, ""2"": 91, ""3"": 103, ""4"": 0}",,,2,3,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,oos,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,202,56,"{""0"": 0, ""1"": 0, ""2"": 50, ""3"": 159, ""4"": 43}",,,2,3,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,oos,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,193,56,"{""0"": 27, ""1"": 29, ""2"": 195, ""3"": 1}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,oos,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,250,56,"{""0"": 0, ""1"": 2, ""2"": 232, ""3"": 18}",,,2,2,True,False
AAP,b23fda7a4ef2c072e4af37085fb53c557e3bbe3a63c401b69acbeaa70c8eff82,train_2,train,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,2,True,198,22,"{""0"": 4, ""1"": 48, ""2"": 105, ""3"": 72, ""4"": 21}",,,2,3,True,False
AAP,b23fda7a4ef2c072e4af37085fb53c557e3bbe3a63c401b69acbeaa70c8eff82,train_2,train,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,59,22,"{""0"": 55, ""1"": 73, ""2"": 63, ""3"": 47, ""4"": 12}",,,2,3,True,False
