field,value,block,training_input_status,interpretation
use_news_global,false,News,GLOBAL_DISABLED,"global sentiment scalar was masked off"
weight_news_sentiment,1.009438261684377,News,GLOBAL_DISABLED,"value exists but had no fitness effect while mask=false"
news_zscore_window,20,NewsTopics,LIVE_87_OF_250,"topic feature lookback gene"
news_block_cap,4.171489297362729,NewsTopics,LIVE_87_OF_250,"topic contribution cap"
weight_news_blockchain,2.313828671281125,NewsTopics,LIVE_87_OF_250,learnable
weight_news_earnings,1.9544618166572707,NewsTopics,LIVE_87_OF_250,learnable
weight_news_economy_fiscal,-0.8706186525615776,NewsTopics,LIVE_87_OF_250,learnable
weight_news_economy_macro,2.521515348158638,NewsTopics,LIVE_87_OF_250,learnable
weight_news_economy_monetary,1.3967420821228231,NewsTopics,LIVE_87_OF_250,learnable
weight_news_energy_transportation,0.5891591618680638,NewsTopics,LIVE_87_OF_250,learnable
weight_news_finance,-0.4468581383941679,NewsTopics,LIVE_87_OF_250,learnable
weight_news_financial_markets,2.549061750685955,NewsTopics,LIVE_87_OF_250,learnable
weight_news_ipo,-0.007246553996386629,NewsTopics,LIVE_87_OF_250,learnable
weight_news_life_sciences,2.7871778061726102,NewsTopics,LIVE_87_OF_250,learnable
weight_news_manufacturing,2.9735577126219797,NewsTopics,LIVE_87_OF_250,learnable
weight_news_mergers_and_acquisitions,-0.5007691115298374,NewsTopics,LIVE_87_OF_250,learnable
weight_news_real_estate,-0.718127988033088,NewsTopics,LIVE_87_OF_250,learnable
weight_news_retail_wholesale,-3.0,NewsTopics,LIVE_87_OF_250,learnable
weight_news_technology,-1.4463171249664442,NewsTopics,LIVE_87_OF_250,learnable
event_response_banking_crisis,-0.019268752211724027,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_earnings_shock,0.795132287842401,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_export_ban,-0.3083143715618548,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_fed_statement,0.16053340841158248,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_geopolitical,-1.931246851347001,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_inflation,1.275430750797145,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_oil_surge,0.17298181855571837,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_rate_cut,-0.8925811195689358,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_rate_hike,1.4331502126146771,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_tariff,-1.214004165245134,Event,FORCED_ZERO,unidentifiable_by_fitness
event_response_war,0.5423230960412313,Event,FORCED_ZERO,unidentifiable_by_fitness
event_strength_multiplier,2.3387436247691396,Event,FORCED_ZERO,unidentifiable_by_fitness
