ticker,row_count,last_news_date,update_status
ACMR,95,2026-07-09,UPDATED
ADMA,153,2026-07-11,UPDATED
AEIS,186,2026-07-10,UPDATED
ALGT,407,2026-07-11,UPDATED
ANET,485,2026-07-11,UPDATED
ARKW,85,2026-07-07,UPDATED
BB,231,2026-07-10,UPDATED
BCS,374,2026-07-10,UPDATED
BMA,132,2026-07-08,UPDATED
BMI,190,2026-07-10,UPDATED
BN,71,2026-07-10,UPDATED
BNTX,331,2026-07-11,UPDATED
BTBT,185,2026-07-10,UPDATED
BWXT,259,2026-07-11,UPDATED
CBRL,265,2026-07-10,UPDATED
CMC,189,2026-07-08,UPDATED
CRK,155,2026-07-11,UPDATED
CRS,160,2026-07-08,UPDATED
