rank,ticker,candidate_id,stage,live_final_score,classification,direct_buy_ready_now,fixable,cause,in_regular_candidate_file,regular_rulebook_len,regular_selected_rulebook_len,regular_atr,regular_errors,source_file,source_file_exists,source_rulebook_len,source_rulebook_complete,source_errors,rulebook_hash
1,BMA,stage3:BMA:0c978464f9dd,stage3,19.245747119374474,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,4.56109647340232,,exp_batch_stage123_2009_20260616_full/tickers/BMA/stage3/final_rulebooks.jsonl,True,88,True,,0c978464f9dde1afc4e0f9501a0e135f6936b7c2f47503c5f149d43ceb232f01
2,BTBT,stage3:BTBT:363898884d44,stage3,11.350200506898409,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,0.1801082004378081,,exp_batch_stage123_2009_20260616_full/tickers/BTBT/stage3/final_rulebooks.jsonl,True,88,True,,363898884d446481cb2fe915f734e14f950648571d9ea5ced366373a9b1585ce
3,BMI,stage3:BMI:07d4ee0f7841,stage3,8.274863121736892,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,5.3530176350470295,,exp_batch_stage123_2009_20260616_full/tickers/BMI/stage3/final_rulebooks.jsonl,True,88,True,,07d4ee0f7841289628c40f20e3b7571522ab3cd12491ee889af8bbe8be5c6b5d
4,BCS,stage3:BCS:5e7da5a74b01,stage3,6.986154927927016,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,0.6898167819891539,,exp_batch_stage123_2009_20260616_full/tickers/BCS/stage3/final_rulebooks.jsonl,True,88,True,,5e7da5a74b01545ef6645f4a8a7c15b98fa78372fea1dda57cf45020712dd055
5,CMC,stage2:CMC:4f6ee2739add,stage2,6.982739503933804,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,tickers/CMC/stage2/survivors.jsonl,True,88,True,,4f6ee2739add9e47fde7bed02629cd96f768590c76a08b09ed0c77d1defdb392
6,ALGT,stage3:ALGT:aec5dd5b1dc1,stage3,5.5972934959001375,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,6.386689045625623,,exp_batch_stage123_2009_20260616_full/tickers/ALGT/stage3/final_rulebooks.jsonl,True,88,True,,aec5dd5b1dc1e1c04f437401820b75ece1de06f379839f0e031904a50df058ae
7,ADPT,stage3:ADPT:78c31f1ca209,stage3,5.191134960606456,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/ADPT/stage3/final_rulebooks.jsonl,True,88,True,,78c31f1ca209349a302d99a57b6ebe0469066d7dc34925c9195fff31e3d0c46e
8,ANET,stage3:ANET:fe220620802b,stage3,5.025097065320651,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/final_rulebooks.jsonl,True,88,True,,fe220620802b432f760bf18cb42e27465bdf78361ea803a0d00692c80848932b
9,ACMR,stage3:ACMR:44c1e02681c4,stage3,4.645036715590785,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/ACMR/stage3/final_rulebooks.jsonl,True,88,True,,44c1e02681c44166295eac4acb61328ed3593f66320dbd176b6f4ae94f2569e3
10,BKSY,stage3:BKSY:f1bcc8efea02,stage3,4.296854071530162,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/BKSY/stage3/final_rulebooks.jsonl,True,88,True,,f1bcc8efea02d63490f0c6ee1dbe7507416a85e2197551cf16a96db9054d9afc
