field,backtest_full_value,live_full_revalidation_value,full_path_match,real_dashboard_live_snapshot_value,live_snapshot_note,snapshot_match,impact_if_snapshot_reconstructed
sector_name,tech,tech,True,tech,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,True,MATCH
use_market_entry_adjustment,False,False,True,True,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
market_adjustment_strength,0.10684213221952549,0.10684213221952549,True,0.10684213221952549,PRESENT_IN_CANDIDATE_UNIVERSE_COMPACT,True,MATCH
market_score_weight,0.008840218406678813,0.008840218406678813,True,0.008840218406678813,PRESENT_IN_CANDIDATE_UNIVERSE_COMPACT,True,MATCH
sector_strength_weight,-0.6208615991099308,-0.6208615991099308,True,-0.6208615991099308,PRESENT_IN_CANDIDATE_UNIVERSE_COMPACT,True,MATCH
vix_sensitivity,-1.0,-1.0,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
signal_threshold,2.6541866643896674,2.6541866643896674,True,2.6541866643896674,PRESENT_IN_LIVE_SLOT_SNAPSHOT,True,MATCH
use_event_block,True,True,True,True,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,True,MATCH
event_response_war,0.5423230960412313,0.5423230960412313,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_rate_hike,1.4331502126146771,1.4331502126146771,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_rate_cut,-0.8925811195689358,-0.8925811195689358,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_geopolitical,-1.931246851347001,-1.931246851347001,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_tariff,-1.214004165245134,-1.214004165245134,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_export_ban,-0.3083143715618548,-0.3083143715618548,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_earnings_shock,0.795132287842401,0.795132287842401,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_oil_surge,0.17298181855571837,0.17298181855571837,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_banking_crisis,-0.019268752211724027,-0.019268752211724027,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_inflation,1.275430750797145,1.275430750797145,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_response_fed_statement,0.16053340841158248,0.16053340841158248,True,0.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
event_strength_multiplier,2.3387436247691396,2.3387436247691396,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
weight_ma_align,1.2272413237358344,1.2272413237358344,True,1.0,MISSING_IN_LIVE_SLOT_IF_RECONSTRUCTED_DEFAULT,False,AFFECTS_SHOULD_BUY_OR_FINAL_SCORE
