ticker,candidate_id,stored_rank_by_final,rank_without_sector,rank_delta,final_score,score_without_sector_component,raw_score,stored_sector_score,sector_strength_weight,detected_sector_name,detect_reason,reasons
BMI,stage3:BMI:07d4ee0f7841,1,3,2,16.569100632121625,8.536182223264742,11.677670424611383,100.0,1.0,tech,default_fallback_to_tech,정배열(+1.29) | 이벤트반응(+10.38) | 시장보정×1.42
BMA,stage3:BMA:0c978464f9dd,2,1,-1,13.470340277777586,10.93026210106132,13.470340277777586,100.0,1.0,tech,default_fallback_to_tech,RSI 52∈[21,60](+1.96) | 이벤트반응(+11.51)
BTBT,stage3:BTBT:363898884d44,3,2,-1,11.13662361950867,9.9921458591967,10.993660516967381,100.0,0.5053851532734794,tech,explicit_tech_keyword,RSI 41∈[38,64](+1.65) | 이벤트반응(+9.35) | 시장보정×1.01
CE,stage3:CE:998b0b638c66,4,4,0,8.363246295633697,8.368902087910461,8.363246295633697,100.0,-0.6208615991099308,tech,default_fallback_to_tech,MACD크로스(+1.17) | RSI 44∈[37,80](+1.73) | BB근접(+0.85) | 이벤트반응(+4.62)
ADMA,stage3:ADMA:42437a3ee595,5,5,0,8.13390478410396,6.271738951988312,5.489220533303154,100.0,0.865772275145924,healthcare,explicit_healthcare_keyword,RSI 63∈[33,69](+2.00) | 이벤트반응(+3.49) | 시장보정×1.48
ALGT,stage2:ALGT:402f72d48c3c,6,11,5,6.706770154358389,4.136752936780837,3.4629677976632944,100.0,0.8642383261204772,tech,default_fallback_to_tech,정배열(+0.24) | 이벤트반응(+3.22) | 시장보정×1.94
ALGT,stage3:ALGT:aec5dd5b1dc1,7,7,0,5.5972934959001375,5.055843721185247,3.6907802046505243,100.0,0.9533400859794929,tech,default_fallback_to_tech,정배열(+1.69) | RSI 62∈[39,75](+2.00) | 시장보정×1.52
CMC,stage2:CMC:4f6ee2739add,8,8,0,5.061367673537044,4.694245897711776,5.061367673537044,100.0,0.39130546292146495,tech,default_fallback_to_tech,RSI 32∈[30,80](+1.05) | 이벤트반응(+4.01)
ARKG,stage3:ARKG:50b05b8de94f,9,18,9,4.9989705087676075,3.2836513834242926,3.154905210818696,100.0,1.0,tech,default_fallback_to_tech,정배열(+0.05) | RSI 73∈[30,78](+1.21) | 이벤트반응(+1.89) | 시장보정×1.58
BE,stage3:BE:b07b2e49fef8,10,10,0,4.660272885084713,4.223342236074009,2.9433250228647543,38.9,-1.0,energy,explicit_energy_keyword,정배열(+1.79) | RSI 47∈[25,70](+1.16) | 시장보정×1.58
BN,stage3:BN:d264957fe5f6,11,23,12,4.108775785288515,2.7319999844395584,4.108775785288515,100.0,0.15968897498797552,tech,default_fallback_to_tech,MACD크로스(+1.31) | RSI 48∈[29,60](+1.02) | BB근접(+2.00) | 이벤트반응(-0.22)
AMZN,stage3:AMZN:bdc7a3a74814,12,26,14,4.014229043469711,1.97012294338903,3.3214893382790738,100.0,1.0,tech,default_fallback_to_tech,BB근접(+1.59) | 이벤트반응(+1.73) | 시장보정×1.21
FIX,stage2:FIX:cab7d458767d,13,12,-1,3.6740721645385097,4.046843959925557,3.6740721645385097,100.0,1.0,tech,default_fallback_to_tech,RSI 40∈[39,67](+1.68) | BB근접(+1.99)
BCS,stage3:BCS:5e7da5a74b01,14,6,-8,3.373443354303025,5.329504508780182,3.373443354303025,100.0,-0.11669958715869821,tech,default_fallback_to_tech,정배열(+1.17) | 이벤트반응(+2.20)
BB,stage3:BB:f1bdfe7f8ad9,15,17,2,3.2909034677771114,3.4921716789777366,3.2909034677771114,100.0,1.0,tech,default_fallback_to_tech,정배열(+1.54) | RSI 61∈[29,80](+1.75)
CDE,stage3:CDE:ceb9fe0512dc,16,9,-7,3.2590634430012115,4.6790407549748,3.2590634430012115,100.0,0.2596616904359823,tech,default_fallback_to_tech,RSI 43∈[25,75](+1.55) | BB근접(+1.71)
CIEN,stage3:CIEN:2ed675d30868,17,20,3,3.2229029879499613,3.211785783971232,3.2229029879499613,100.0,0.5271378653806593,tech,default_fallback_to_tech,RSI 38∈[24,73](+1.82) | BB근접(+1.40)
BWXT,stage3:BWXT:f195725cb792,18,15,-3,3.196563693841158,3.622064982895272,3.196563693841158,100.0,-0.22064267950012728,tech,explicit_tech_keyword,RSI 40∈[25,73](+1.01) | 이벤트반응(+2.18)
