time_utc,commit_or_artifact,event,confirmed_or_inferred,live_promotion_state,evidence
2026-07-03T14:32:14+00:00,b8138f3ca9dffbeccf0b7dd02c2336c1943d544a,"다음날 고저 구간 예측 GA 러너 최초 추가",CONFIRMED,RESEARCH_ONLY,"commit message; scripts/research/run_range_predictor_ga.py"
2026-07-03T15:05:17+00:00,59ac6f89607fcb979a14f6a0b5994a003a5ed539,"Stage2 흐름을 이식한 range predictor v3 추가",CONFIRMED,RESEARCH_ONLY,"commit message; scripts/research/run_range_predictor_stage2_v3.py"
2026-07-03T15:13:31+00:00,ed211b1a6c946faa692070bfd4925b090f5c71d8,"v1/v2/reversal predictor 정리, v3만 유지",CONFIRMED,RESEARCH_ONLY,"git name-status shows deleted research runners"
2026-07-03T15:52:18+00:00,3c369e548b44f29355d59d202cf721541af9bbda,"실패 예측 실험 러너 정리 후 스윙 진입품질 작업으로 전환; v3도 일시 삭제",CONFIRMED,NO_LIVE_PROMOTION,"commit message and D scripts/research/run_range_predictor_stage2_v3.py"
2026-07-04T11:16:44+00:00,70719cc90dc46db7d4722a6004ba28ab722d661c,"range predictor v3를 Stage2 연속 생존 연구 구조로 재추가",CONFIRMED,RESEARCH_ONLY,"commit message and A scripts/research/run_range_predictor_stage2_v3.py"
2026-07-04T13:32:11+00:00,2f4ab8d081e998cf7a98e984b6525893df6f92c2,"다음날 상·하방 2% 이벤트 분류로 변경",CONFIRMED,RESEARCH_ONLY,"commit diff; final_survivor experiment family"
2026-07-04T14:56:01+00:00,exp_fix_range_predictor_stage2_v3_rolling_event2pct_high_20260704_001,"상방 2% 분리 실험은 final survivor 17개 생성",CONFIRMED,NOT_WIRED,"final_survivors.jsonl rows=17; SHA256 238ff50136f39598b10ee5bcc376c1a5369586046f90d396ff303c1bf7b8f625"
2026-07-04T15:58:02+00:00,exp_fix_range_predictor_stage2_v3_precision_event2pct_high_20260704_001,"precision 강화 2% 실험은 stage survivor 387개이나 final survivor 0개",CONFIRMED,NOT_WIRED,"retained stage/final survivor files"
2026-07-04T16:47:26+00:00,exp_fix_range_predictor_stage2_v3_tpsl_tp2_sl1_20260704_001,"FIX TP+2%/SL-1% 실험 final survivor 0개",CONFIRMED,NOT_WIRED,"retained survivor files"
2026-07-04T17:21:16+00:00,exp_mpc_range_predictor_stage2_v3_tpsl_tp2_sl1_20260704_001,"MPC TP+2%/SL-1% 실험 final survivor 0개",CONFIRMED,NOT_WIRED,"retained survivor files"
2026-07-04T18:29:23+00:00,exp_mpc_range_predictor_stage2_v3_tponly_tp2_20260704_001,"MPC TP-only +2% 실험 final survivor 0개",CONFIRMED,NOT_WIRED,"retained survivor files"
2026-07-04T23:11:40+00:00,exp_fix_range_predictor_stage2_v3_large_range_q70_20260704_001,"다음날 large-range 실험 stage survivor 475개이나 final survivor 0개",CONFIRMED,NOT_WIRED,"retained survivor files"
2026-07-05T07:20:25+00:00,exp_fix_range_predictor_stage2_v3_coarse3_stage2gate_loose_20260705_001,"완화 coarse3 gate에서 final survivor 22개",CONFIRMED,NOT_WIRED,"final_survivors SHA256 550dccb463f093345a6e31825c7ac22fd5655e4ca215bef73e947d61201c41c8"
2026-07-05T14:11:04+00:00,exp_fix_range_predictor_stage2_v3_high_only_20260705_001,"HIGH-only dense predictor final survivor 4개",CONFIRMED,NOT_WIRED,"final_survivors SHA256 163e4caac2fff793509100ee90162e1d8a57c3502834e0585b2ca4199140930d"
2026-07-05T15:30:28+00:00,b89d24d22a081b93e1f804711f4e65809bafe453,"range predictor feature lookback을 5일에서 10일로 확장",CONFIRMED,RESEARCH_ONLY,"current script lines 3-13,29-33"
2026-07-05T15:39:24+00:00,c89322505c0614cd640f059d74f3ede166d75781,"10일 lag 기반 2유전자 payoff GA 추가",CONFIRMED,RESEARCH_ONLY,"commit message; run_payoff_two_gene_ga.py"
2026-07-06T04:25:52+00:00,e22a445e94931838f98288f517ab3665ae1e8cd9,"5일 lag, D0 gap 제거, stress/OOS 진짜검증 감사 wrapper 추가",CONFIRMED,RESEARCH_ONLY,"run_payoff_two_gene_fullfeature_stage2_rolling_ga_5d_separate_highlow_soft_nod0_finalaudit_target.py"
2026-07-06T04:35:04+00:00,ec73c17b65663ab9fb7b07a275720ecd6f8a9e65,"학습구간 기준대비 적중률·보상폭 검증 wrapper 추가; 관련 마지막 개발 커밋",CONFIRMED,RESEARCH_ONLY,"git history"
2026-07-10T14:26:48+00:00,operational_unused_second_pass,"range/payoff 산출물을 TERMINATED_EXPERIMENT_DATA·운영 비도달·active reference 0으로 분류",CONFIRMED,TERMINATED_NOT_LIVE,"data/_system/analysis/candidate_selection_audit_20260710/operational_unused_second_pass.csv SHA256 54308dfdc9e0d72a6f98af11d1628202b165070c32b68d157137ed6bf5da231c"
2026-07-12T07:02:00+00:00,current_repository,"engine/live/ops에서 predictor artifact loader·inference call site 없음",CONFIRMED,NOT_WIRED,"git grep for final_survivors/survival_pass/true_validation_pass/load predictor found only research writers"
,reachable_git_history,"라이브에 붙였다가 제거한 커밋",CONFIRMED_ABSENCE,NOT_FOUND,"no engine/live addition/removal or artifact loader history found"
,causal_reason,"검증 실패 때문에 명시적으로 승격을 취소했다는 결정문",NOT_FOUND,UNKNOWN,"target drift and failed/unstable survivors are circumstantial evidence only"
