experiment,modified_utc,stage_survivors,final_survivors,current_retained_state,operational_classification,interpretation
exp_fix_range_predictor_stage2_v3_rolling_event2pct_20260704_001,2026-07-04T14:06:40+00:00,222,0,"stage_survivors + empty final_survivors only",TERMINATED_EXPERIMENT_DATA,"combined 2% event failed final survival"
exp_fix_range_predictor_stage2_v3_rolling_event2pct_high_20260704_001,2026-07-04T14:56:01+00:00,480,17,"protected final survivor pool retained; detailed metrics deleted",TERMINATED_EXPERIMENT_DATA,"some HIGH 2% models survived then-current gates"
exp_fix_range_predictor_stage2_v3_rolling_event2pct_low_20260704_001,2026-07-04T14:55:15+00:00,480,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"LOW side failed final survival"
exp_fix_range_predictor_stage2_v3_precision_event2pct_high_20260704_001,2026-07-04T15:58:02+00:00,387,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"precision-constrained HIGH 2% failed final survival"
exp_fix_range_predictor_stage2_v3_tpsl_tp2_sl1_20260704_001,2026-07-04T16:47:26+00:00,284,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"FIX practical TP/SL target failed"
exp_mpc_range_predictor_stage2_v3_tpsl_tp2_sl1_20260704_001,2026-07-04T17:21:16+00:00,337,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"MPC practical TP/SL target failed"
exp_mpc_range_predictor_stage2_v3_tponly_tp2_20260704_001,2026-07-04T18:29:23+00:00,418,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"MPC TP-only target failed"
exp_fix_range_predictor_stage2_v3_large_range_q70_20260704_001,2026-07-04T23:11:40+00:00,475,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"large-range target failed final survival"
exp_fix_range_predictor_stage2_v3_coarse3_stage2gate_loose_20260705_001,2026-07-05T07:20:25+00:00,83,22,"final survivor pool retained",TERMINATED_EXPERIMENT_DATA,"loose gate produced survivors but median OOS lift was adverse"
exp_fix_range_predictor_stage2_v3_true3_stage2gate_fixed_20260705_001,2026-07-05T08:07:07+00:00,98,51,"final survivor pool retained",TERMINATED_EXPERIMENT_DATA,"mixed HIGH/LOW OOS behavior"
exp_fix_range_predictor_stage2_v3_dense_weights_20260705_001,2026-07-05T13:33:21+00:00,7,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"dense weights did not survive final gates"
exp_fix_range_predictor_stage2_v3_high_only_20260705_001,2026-07-05T14:11:04+00:00,64,4,"final survivor pool retained",TERMINATED_EXPERIMENT_DATA,"small positive HIGH-only sample; not portfolio validated"
exp_fix_range_predictor_stage2_v3_low_only_20260705_001,2026-07-05T14:10:31+00:00,9,0,"stage survivors only",TERMINATED_EXPERIMENT_DATA,"LOW-only failed final survival"
exp_fix_range_predictor_stage2_v3_no_danger_learning_open_gate_20260705_001,2026-07-05T05:28:47+00:00,100,300,"final pool retained",TERMINATED_EXPERIMENT_DATA,"near-total survival indicates weak selectivity"
exp_fix_range_predictor_stage2_v3_low_danger2_safe02_open_gate_20260705_001,2026-07-05T05:53:08+00:00,100,300,"final pool retained",TERMINATED_EXPERIMENT_DATA,"near-total survival indicates weak selectivity"
exp_fix_range_predictor_stage2_v3_low_danger17_safe03_open_gate_20260705_001,2026-07-05T06:14:04+00:00,100,299,"final pool retained",TERMINATED_EXPERIMENT_DATA,"near-total survival indicates weak selectivity"
payoff_pattern_classifier_family,2026-07-05T15:14:59+00:00,,,"experiment result directories currently empty",TERMINATED_EXPERIMENT_DATA,"scripts complete; OOS result artifacts deleted"
payoff_two_gene_family,2026-07-06T04:35:04+00:00,,,"many experiment dirs empty; audit proves all_candidates/summary once existed",TERMINATED_EXPERIMENT_DATA,"last development added true validation but retained pass counts are NOT_STORED"
operational_unused_audit,2026-07-10T14:26:48+00:00,,,"308 range/payoff-related audit rows; active reference 0",TERMINATED_EXPERIMENT_DATA,"system-level confirmation that experiments were not operationally reachable"
