candidate_id,ticker,stage,rulebook_hash_short,source_artifact,v3_direct_join,v3_status,boil_exclusive_direct_join
stage2:CMC:4f6ee2739add,CMC,stage2,4f6ee2739add,tickers/CMC/stage2/survivors.jsonl,true,PASS,false
stage3:ACMR:44c1e02681c4,ACMR,stage3,44c1e02681c4,tickers/ACMR/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:ADMA:42437a3ee595,ADMA,stage3,42437a3ee595,tickers/ADMA/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:AEIS:6e26f08a7c6d,AEIS,stage3,6e26f08a7c6d,tickers/AEIS/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:ALGT:aec5dd5b1dc1,ALGT,stage3,aec5dd5b1dc1,tickers/ALGT/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:ANET:fe220620802b,ANET,stage3,fe220620802b,tickers/ANET/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:ARKW:296c057b4ef7,ARKW,stage3,296c057b4ef7,tickers/ARKW/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:BB:f1bdfe7f8ad9,BB,stage3,f1bdfe7f8ad9,tickers/BB/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:BCS:5e7da5a74b01,BCS,stage3,5e7da5a74b01,tickers/BCS/stage3/final_rulebooks.jsonl,true,FAIL,false
stage3:BMA:0c978464f9dd,BMA,stage3,0c978464f9dd,tickers/BMA/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:BMI:07d4ee0f7841,BMI,stage3,07d4ee0f7841,tickers/BMI/stage3/final_rulebooks.jsonl,true,FAIL,false
stage3:BN:d264957fe5f6,BN,stage3,d264957fe5f6,tickers/BN/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:BNTX:d667608bc166,BNTX,stage3,d667608bc166,tickers/BNTX/stage3/final_rulebooks.jsonl,true,FAIL,false
stage3:BTBT:363898884d44,BTBT,stage3,363898884d44,tickers/BTBT/stage3/final_rulebooks.jsonl,true,FAIL,false
stage3:BWXT:f195725cb792,BWXT,stage3,f195725cb792,tickers/BWXT/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:CBRL:677767a0b6a9,CBRL,stage3,677767a0b6a9,tickers/CBRL/stage3/final_rulebooks.jsonl,true,PASS,false
stage3:CRK:997177aa687b,CRK,stage3,997177aa687b,tickers/CRK/stage3/final_rulebooks.jsonl,true,FAIL,false
stage3:CRS:8695c9ce3320,CRS,stage3,8695c9ce3320,tickers/CRS/stage3/final_rulebooks.jsonl,true,PASS,false
