scope,count,stage2_count,stage3_count,removed_five_present,status,evidence
live_candidate_pool,10,0,10,0,CONFIRMED,"data/_system/live_slots_state.json mtime 2026-07-12T07:36:28Z"
S2AutoTrader.candidate_pool(),10,0,10,0,CONFIRMED,"runtime replay 2026-07-12; exact same candidate_id order as live state"
build_elite_shadow_report,57,8,49,0,CONFIRMED,"runtime replay 2026-07-12 under Event OFF and BLOCK"
removed_target_BTBT,0,,,0,CONFIRMED,"not in shared pool, S2 pool, or current elite report"
removed_target_BMI,0,,,0,CONFIRMED,"not in shared pool, S2 pool, or current elite report"
removed_target_BCS,0,,,0,CONFIRMED,"not in shared pool, S2 pool, or current elite report"
removed_target_BNTX,0,,,0,CONFIRMED,"not in shared pool, S2 pool, or current elite report"
removed_target_CRK,0,,,0,CONFIRMED,"not in shared pool, S2 pool, or current elite report"
rank1,ADMA,0,1,0,CONFIRMED,"stage3:ADMA:42437a3ee595"
rank2,CRS,0,1,0,CONFIRMED,"stage3:CRS:8695c9ce3320"
rank3,ALGT,0,1,0,CONFIRMED,"stage3:ALGT:aec5dd5b1dc1"
rank4,AEIS,0,1,0,CONFIRMED,"stage3:AEIS:6e26f08a7c6d"
rank5,ARKW,0,1,0,CONFIRMED,"stage3:ARKW:296c057b4ef7"
rank6,CBRL,0,1,0,CONFIRMED,"stage3:CBRL:677767a0b6a9"
rank7,BTU,0,1,0,CONFIRMED,"stage3:BTU:ecfcb41f1be2"
rank8,BB,0,1,0,CONFIRMED,"stage3:BB:f1bdfe7f8ad9"
rank9,BN,0,1,0,CONFIRMED,"stage3:BN:d264957fe5f6"
rank10,ACMR,0,1,0,CONFIRMED,"stage3:ACMR:44c1e02681c4"
