item,value,status,evidence
order_path,"broker.place_buy(... MARKET ...) after real_order_gate and SafetyLayer",CONFIRMED,"engine/live/s2_auto_trader.py:421-475"
current_master_enabled,false,CONFIRMED,"data/_system/live_auto_config.json"
current_auto_buy_enabled,false,CONFIRMED,"data/_system/live_auto_config.json"
current_real_orders_enabled,true,CONFIRMED,"data/_system/live_auto_config.json"
current_dry_run,false,CONFIRMED,"data/_system/live_auto_config.json"
operator_armed,false,CONFIRMED,"data/_system/live_auto_config.json"
direct_order_env_at_last_state,false,CONFIRMED,"data/_system/live_auto_state.json last_plan"
S2_daemon_running,false,CONFIRMED,"process snapshot 2026-07-12"
real_order_count,0,CONFIRMED,"data/_system/live_auto_state.json updated 2026-07-08T06:20:07Z"
orders_today,0,CONFIRMED,"data/_system/live_auto_state.json"
order_intents_file,"NOT_FOUND/empty",CONFIRMED,"data/_system/live_auto_order_intents.jsonl absent at survey time"
last_S2_plan,"stage3:BMI:07d4ee0f7841 dry-run plan from 2026-07-08; no order submitted",CONFIRMED,"data/_system/live_auto_state.json"
current_open_order_possibility,"blocked under current config and no daemon",CONFIRMED,"master=false, auto_buy=false, operator unarmed"
CE_S2_order_event,"NOT_FOUND",CONFIRMED,"no CE or km-s2-auto event in S2 auto events/order-intent paths"
CE_candidate_status,"stage3:CE:998b0b638c66 currently denylisted",CONFIRMED,"build_elite_shadow_report denylist summary 2026-07-12"
CE_trade_provenance,"cannot attribute to S2 from retained S2 records",NOT_STORED,"S2 real_order_count=0 and no S2 order intent/event; other broker/dashboard paths not proven here"
