active_days,champion_origin_train_label,decision_threshold,early_take_profit_count,evaluated_days,holding_over_20_sessions_count,holding_over_60_sessions_count,infinite_holding_risk_flag,max_holding_sessions,method,model_hash,near_threshold_crossing_count,one_session_trade_count_all,one_session_whipsaw_count,period_end_open_position_count,regime,signal_whipsaw_rate,survivor,target_date_exit_count,threshold_crossing_count,ticker,trade_count,two_or_less_session_cycle_count,whipsaw_rate
48,train_1,0.6058964143426294,0,751,0,0,False,3,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0,0,0,train,0.0,False,43,85,ADMA,43,38,0.0
48,train_1,0.6058964143426294,30,751,0,0,False,3,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,23,0,0,train,0.0,False,13,85,ADMA,43,42,0.5348837209302325
48,train_1,0.6058964143426294,0,751,0,0,False,2,fixed_2_sessions,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0,0,0,train,0.0,False,0,85,ADMA,43,43,0.0
28,train_1,0.6058964143426294,0,515,0,0,False,3,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0,0,0,stress,0.0,False,26,52,ADMA,26,24,0.0
28,train_1,0.6058964143426294,8,515,0,0,False,3,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,5,0,0,stress,0.0,False,19,52,ADMA,27,26,0.18518518518518517
28,train_1,0.6058964143426294,0,515,0,0,False,2,fixed_2_sessions,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0,0,0,stress,0.0,False,0,52,ADMA,26,26,0.0
19,train_1,0.6058964143426294,0,252,0,0,False,3,rolling_target_2_sessions_tp_off,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0,0,0,oos,0.0,False,14,28,ADMA,14,9,0.0
19,train_1,0.6058964143426294,9,252,0,0,False,3,rolling_target_2_sessions_tp_on,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,8,0,0,oos,0.0,False,5,28,ADMA,14,12,0.5714285714285714
19,train_1,0.6058964143426294,0,252,0,0,False,2,fixed_2_sessions,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0,0,0,oos,0.0,False,0,28,ADMA,14,14,0.0
73,train_3,0.596,0,751,0,0,False,5,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0,0,0,train,0.0,False,57,119,CRS,57,44,0.0
73,train_3,0.596,43,751,0,0,False,5,rolling_target_2_sessions_tp_on,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,28,0,0,train,0.0,False,17,119,CRS,60,56,0.4666666666666667
73,train_3,0.596,0,751,0,0,False,2,fixed_2_sessions,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0,0,0,train,0.0,False,0,119,CRS,58,58,0.0
41,train_3,0.596,0,515,0,0,False,4,rolling_target_2_sessions_tp_off,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0,0,0,stress,0.0,False,32,70,CRS,32,25,0.0
