C:\kingmaker_adpt_feature_nulltest_v9\data\_system\analysis\stage3_adpt_feature_nulltest_v9_20260715\run_adpt_feature_nulltest_v9.py:197: FutureWarning: The default fill_method='pad' in Series.pct_change is deprecated and will be removed in a future version. Either fill in any non-leading NA values prior to calling pct_change or specify 'fill_method=None' to not fill NA values.
  basket_ret20 = basket.pct_change(20) * 100.0
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 1, "best_hash": "311ec06147d5f64e2db5725a93921569579c66cd4ccd566881299d40316354e4", "best_fitness": -1.9985710803057608, "mean_fitness": -790000000.7793155, "best_primary_objective_pct_per_day": 1.2849384913222448, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.2849384913222448, "best_mae_penalty": 1.9893325080618873, "best_realized_loss_penalty": 0.6861192760771587, "best_total_risk_penalty": 2.675451784139046, "best_fitness_before_entry_gate": -1.9985710803057608, "best_final_fitness": -1.9985710803057608, "best_trade_count": 43, "best_trade_count_gate_pass": true, "best_win_rate_pct": 60.46511627906976, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:03.188740+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 2, "best_hash": "63bd8b06f5ddeafe4c5261e21eb57effd85d3ac54ef3ec8136d2d51854f5be6b", "best_fitness": -0.6585288308585467, "mean_fitness": -530000001.64154303, "best_primary_objective_pct_per_day": 1.6930681374507413, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.6930681374507413, "best_mae_penalty": 1.3746665769292736, "best_realized_loss_penalty": 0.7912234874146197, "best_total_risk_penalty": 2.1658900643438934, "best_fitness_before_entry_gate": -0.6585288308585467, "best_final_fitness": -0.6585288308585467, "best_trade_count": 25, "best_trade_count_gate_pass": true, "best_win_rate_pct": 68.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:10.666803+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 3, "best_hash": "44662f78886eb490217ccc4d414b7b873628a65869641cb5032b2501330c8926", "best_fitness": -0.6585288308585467, "mean_fitness": -270000002.21223754, "best_primary_objective_pct_per_day": 1.6930681374507413, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.6930681374507413, "best_mae_penalty": 1.3746665769292736, "best_realized_loss_penalty": 0.7912234874146197, "best_total_risk_penalty": 2.1658900643438934, "best_fitness_before_entry_gate": -0.6585288308585467, "best_final_fitness": -0.6585288308585467, "best_trade_count": 25, "best_trade_count_gate_pass": true, "best_win_rate_pct": 68.0, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:17.936732+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 4, "best_hash": "0d5029cc506554cffb357b70eef548efdffb0e531918af9cb965b288be54d8a7", "best_fitness": -0.6303700848451065, "mean_fitness": -170000002.1988899, "best_primary_objective_pct_per_day": 1.873041600586768, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.873041600586768, "best_mae_penalty": 1.0621795733414208, "best_realized_loss_penalty": 0.5047113117970697, "best_total_risk_penalty": 1.5668908851384904, "best_fitness_before_entry_gate": -0.6303700848451065, "best_final_fitness": -0.6303700848451065, "best_trade_count": 30, "best_trade_count_gate_pass": true, "best_win_rate_pct": 83.33333333333334, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:24.989545+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 5, "best_hash": "252531f365ce0fe902132718248b31d1672c136b5750a3ccb5b1650f14f59659", "best_fitness": -0.6303700848451065, "mean_fitness": -140000002.16260397, "best_primary_objective_pct_per_day": 1.873041600586768, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.873041600586768, "best_mae_penalty": 1.0621795733414208, "best_realized_loss_penalty": 0.5047113117970697, "best_total_risk_penalty": 1.5668908851384904, "best_fitness_before_entry_gate": -0.6303700848451065, "best_final_fitness": -0.6303700848451065, "best_trade_count": 30, "best_trade_count_gate_pass": true, "best_win_rate_pct": 83.33333333333334, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:31.964742+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 6, "best_hash": "252531f365ce0fe902132718248b31d1672c136b5750a3ccb5b1650f14f59659", "best_fitness": -0.6303700848451065, "mean_fitness": -140000001.83812585, "best_primary_objective_pct_per_day": 1.873041600586768, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.873041600586768, "best_mae_penalty": 1.0621795733414208, "best_realized_loss_penalty": 0.5047113117970697, "best_total_risk_penalty": 1.5668908851384904, "best_fitness_before_entry_gate": -0.6303700848451065, "best_final_fitness": -0.6303700848451065, "best_trade_count": 30, "best_trade_count_gate_pass": true, "best_win_rate_pct": 83.33333333333334, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:38.737027+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 7, "best_hash": "5a1dc20636b0cfeb2146556ecfdf139a160c969a57616248bb5db8dc1c307644", "best_fitness": -0.609693175667543, "mean_fitness": -130000001.632281, "best_primary_objective_pct_per_day": 1.9053679697336814, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 1.9053679697336814, "best_mae_penalty": 1.4672718394189228, "best_realized_loss_penalty": 0.2793259811725845, "best_total_risk_penalty": 1.7465978205915074, "best_fitness_before_entry_gate": -0.609693175667543, "best_final_fitness": -0.609693175667543, "best_trade_count": 36, "best_trade_count_gate_pass": true, "best_win_rate_pct": 88.88888888888889, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:45.650607+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 8, "best_hash": "bad030c52813915b9fbd73abe66984d42b1b3eaffa7c77d07b29817868c07f54", "best_fitness": -0.4903918820586799, "mean_fitness": -80000001.54469247, "best_primary_objective_pct_per_day": 1.848254505815338, "best_trade_count_factor": 0.925, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.7096354178791877, "best_mae_penalty": 0.9806355542768288, "best_realized_loss_penalty": 0.36457403672144495, "best_total_risk_penalty": 1.3452095909982738, "best_fitness_before_entry_gate": -0.4903918820586799, "best_final_fitness": -0.4903918820586799, "best_trade_count": 18, "best_trade_count_gate_pass": true, "best_win_rate_pct": 88.88888888888889, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:52.475587+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 9, "best_hash": "f70e4b477b9e3b544e92b6136b27bb096204b0207dcf4e1d7b701753907e42f4", "best_fitness": -0.2718070301106162, "mean_fitness": -120000001.28420992, "best_primary_objective_pct_per_day": 2.0447366332527617, "best_trade_count_factor": 1.0, "best_trade_count_factor_bin": "20_80", "best_primary_after_trade_count_factor": 2.0447366332527617, "best_mae_penalty": 1.0571288123240943, "best_realized_loss_penalty": 0.25239741003792343, "best_total_risk_penalty": 1.3095262223620177, "best_fitness_before_entry_gate": -0.2718070301106162, "best_final_fitness": -0.2718070301106162, "best_trade_count": 26, "best_trade_count_gate_pass": true, "best_win_rate_pct": 92.3076923076923, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:04:59.207068+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 10, "best_hash": "fa50fa662ec9c6352c31d61af25d9673eb01c7547f74e807fc74a130121fafd4", "best_fitness": -0.15167219184022301, "mean_fitness": -30000001.52234062, "best_primary_objective_pct_per_day": 1.8904075369846747, "best_trade_count_factor": 0.8125, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.535956123800048, "best_mae_penalty": 0.5069119268607818, "best_realized_loss_penalty": 0.41273832687946527, "best_total_risk_penalty": 0.9196502537402471, "best_fitness_before_entry_gate": -0.15167219184022301, "best_final_fitness": -0.15167219184022301, "best_trade_count": 15, "best_trade_count_gate_pass": true, "best_win_rate_pct": 93.33333333333333, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:06.090187+00:00"}
{"event": "stage3_aap_tradecount_factor_v3_ga_generation", "stage": "qualify", "fold": "train_1", "call_index": 1, "gene_scope": "entry", "evaluation_workers": 28, "parallel_axis": "population_fitness_evaluation", "merge_order": "input_index_order", "generation": 11, "best_hash": "87d02ec0f168bd96cd59892035bf052af40c593342159da0246a8841e65be1b4", "best_fitness": -0.15167219184022301, "mean_fitness": -50000001.105501115, "best_primary_objective_pct_per_day": 1.8904075369846747, "best_trade_count_factor": 0.8125, "best_trade_count_factor_bin": "12_19", "best_primary_after_trade_count_factor": 1.535956123800048, "best_mae_penalty": 0.5069119268607818, "best_realized_loss_penalty": 0.41273832687946527, "best_total_risk_penalty": 0.9196502537402471, "best_fitness_before_entry_gate": -0.15167219184022301, "best_final_fitness": -0.15167219184022301, "best_trade_count": 15, "best_trade_count_gate_pass": true, "best_win_rate_pct": 93.33333333333333, "best_win_rate_threshold_pass": true, "best_entry_gate_pass": true, "logged_at_utc": "2026-07-15T16:05:12.959670+00:00"}
