phase,candidate_id,ticker,status,note
BEFORE,stage3:BTBT:363898884d44,BTBT,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BMA:0c978464f9dd,BMA,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BMI:07d4ee0f7841,BMI,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:CRS:8695c9ce3320,CRS,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BCS:5e7da5a74b01,BCS,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BNTX:d667608bc166,BNTX,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:ALGT:aec5dd5b1dc1,ALGT,PRESENT,pre-BLOCK pool 18
BEFORE,stage2:CMC:4f6ee2739add,CMC,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BN:d264957fe5f6,BN,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BWXT:f195725cb792,BWXT,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:ADMA:42437a3ee595,ADMA,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:BB:f1bdfe7f8ad9,BB,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:ACMR:44c1e02681c4,ACMR,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:ANET:fe220620802b,ANET,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:ARKW:296c057b4ef7,ARKW,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:CBRL:677767a0b6a9,CBRL,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:CRK:997177aa687b,CRK,PRESENT,pre-BLOCK pool 18
BEFORE,stage3:AEIS:6e26f08a7c6d,AEIS,PRESENT,pre-BLOCK pool 18
AFTER_STABLE,stage3:ADMA:42437a3ee595,ADMA,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:CRS:8695c9ce3320,CRS,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:ALGT:aec5dd5b1dc1,ALGT,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:AEIS:6e26f08a7c6d,AEIS,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:ARKW:296c057b4ef7,ARKW,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:CBRL:677767a0b6a9,CBRL,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:BTU:ecfcb41f1be2,BTU,PRESENT,new fresh-evaluation pass candidate
AFTER_STABLE,stage3:BB:f1bdfe7f8ad9,BB,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:BN:d264957fe5f6,BN,PRESENT,force refresh 2 and 3 stable ID set
AFTER_STABLE,stage3:ACMR:44c1e02681c4,ACMR,PRESENT,force refresh 2 and 3 stable ID set
REMOVED,stage3:BTBT:363898884d44,BTBT,ABSENT,v3 FAIL
REMOVED,stage3:BMI:07d4ee0f7841,BMI,ABSENT,v3 FAIL
REMOVED,stage3:BCS:5e7da5a74b01,BCS,ABSENT,v3 FAIL
REMOVED,stage3:BNTX:d667608bc166,BNTX,ABSENT,v3 FAIL
REMOVED,stage3:CRK:997177aa687b,CRK,ABSENT,v3 FAIL
