date,score,regime,kospi_60d,sp500_60d,vix,sector_tech,sector_finance,sector_energy,sector_healthcare,sector_consumer,sector_industrials,sector_materials,peer_EMN,peer_DD,peer_LYB,peer_WLK,macro_ind,cost_oil
2019-07-08,62.25786662419637,neutral,0.0,0.0,13.960000038146973,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-09,62.11313316345215,neutral,0.0,0.0,14.09000015258789,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-10,63.293266963958736,neutral,0.0,0.0,13.029999732971191,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-11,63.40459966023764,neutral,0.0,0.0,12.93000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-12,64.00579961776732,neutral,0.0,0.0,12.390000343322754,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-15,63.68293299357096,neutral,0.0,0.0,12.68000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-16,63.48253371556599,neutral,0.0,0.0,12.859999656677246,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-17,62.24673303604125,neutral,0.0,0.0,13.970000267028809,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-18,62.73660029729207,neutral,0.0,0.0,13.529999732971191,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-19,61.71233354568481,neutral,0.0,0.0,14.449999809265137,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-22,62.73660029729207,neutral,0.0,0.0,13.529999732971191,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-23,63.76086704889933,neutral,0.0,0.0,12.609999656677246,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-24,64.36206700642903,neutral,0.0,0.0,12.06999969482422,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-25,63.61613358815511,neutral,0.0,0.0,12.739999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-26,64.26186683654785,neutral,0.0,0.0,12.15999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-29,63.51593341827392,neutral,0.0,0.0,12.829999923706056,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-30,62.28013380050659,neutral,0.0,0.0,13.9399995803833,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-07-31,59.85306573232015,neutral,0.0,0.0,16.1200008392334,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-01,57.90473239898682,neutral,0.0,0.0,17.8700008392334,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-02,58.19419932047526,neutral,0.0,0.0,17.610000610351562,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-05,50.42313316345215,neutral,0.0,0.0,24.59000015258789,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-06,55.34406658172607,neutral,0.0,0.0,20.170000076293945,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-07,56.10113358815511,neutral,0.0,0.0,19.489999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-08,58.97353350321451,neutral,0.0,0.0,16.90999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-09,57.79340076446533,neutral,0.0,0.0,17.969999313354492,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-12,54.31979983011881,neutral,0.0,0.0,21.09000015258789,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-13,58.29439949035644,neutral,0.0,0.0,17.520000457763672,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-14,53.19533290863036,neutral,0.0,0.0,22.100000381469727,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-15,54.219599660237634,neutral,0.0,0.0,21.18000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-16,57.23673409779866,neutral,0.0,0.0,18.46999931335449,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-19,59.006934267679846,neutral,0.0,0.0,16.8799991607666,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-20,58.31666666666666,neutral,0.0,0.0,17.5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-21,60.20933312098185,neutral,0.0,0.0,15.800000190734863,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-22,59.229599660237625,neutral,0.0,0.0,16.68000030517578,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-23,55.67806573232015,neutral,0.0,0.0,19.8700008392334,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-26,56.29040033976237,neutral,0.0,0.0,19.31999969482422,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-27,55.18820059458415,neutral,0.0,0.0,20.309999465942383,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-28,56.25699957529703,neutral,0.0,0.0,19.350000381469727,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-29,57.89360093434652,neutral,0.0,0.0,17.8799991607666,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-08-30,56.66893384297689,neutral,0.0,0.0,18.979999542236328,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-03,55.91186683654784,neutral,0.0,0.0,19.65999984741211,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-04,58.505933418273926,neutral,0.0,0.0,17.329999923706055,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-05,59.68606615702311,neutral,0.0,0.0,16.270000457763672,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-06,61.1,neutral,0.0,0.0,15.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-09,60.79939949035645,neutral,0.0,0.0,15.270000457763672,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-10,60.877333545684806,neutral,0.0,0.0,15.199999809265137,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-11,61.53420038223266,neutral,0.0,0.0,14.609999656677246,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-12,61.96839970270793,neutral,0.0,0.0,14.220000267028809,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-13,62.50280025482178,neutral,0.0,0.0,13.739999771118164,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-16,61.4673999150594,neutral,0.0,0.0,14.670000076293944,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-17,61.72346713383992,neutral,0.0,0.0,14.4399995803833,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-18,62.26900021235148,neutral,0.0,0.0,13.949999809265137,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
2019-09-19,62.157666454315184,neutral,0.0,0.0,14.050000190734863,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
