hash,rank_train,train_fitness,pass_2022,pass_2023,pass_2024,pass_2025H2,general_pass_count,survives_all4,2022_exp,2022_dd,2022_trades,2022_member,2023_exp,2023_dd,2023_trades,2023_member,2024_exp,2024_dd,2024_trades,2024_member,2025H2_exp,2025H2_dd,2025H2_trades,2025H2_member
59d10a89f7035b1d5f3de5291a9a031d18341c0c31dcb58cd464eebb6946ceee,59,-123.62481114305609,False,True,True,True,2,False,-2.3624811143056093,-29.448932315016787,13,83.636364,6.143573479265318,-30.541310640360592,10,66.868687,1.9159742487538707,-22.0190297503097,11,96.363636,4.927961211056722,-28.465148585733672,12,78.484848
9e820638a2daf69c4ce2184c590227a09b97493645a5672fa8ef92cd183b2fb1,75,-122.66421444623994,False,True,True,True,2,False,-2.2664214446239934,-46.334262224893315,20,79.494949,6.96091039050585,-9.488454230075272,7,88.080808,2.163739343449151,-8.402155231696977,6,97.878788,4.3725724073631005,-11.668346126391484,18,90.10101
85b572e470a0c5d914876fa046d0eaf3ea2885a4db1123cf9402c40b6228e644,90,-150.0,False,True,True,True,2,False,-5.6087406244633575,-40.160446996243515,7,12.727273,1.780776656653624,-21.28064437825261,9,36.767677,1.2658911768700838,-26.461049711252624,8,94.848485,3.525226030870386,-26.547176000639837,16,68.787879
b0e2f65eacb4fcc2eb5578971cc9a5ccc19c3b551fe0fc1fe481d71beb1353b3,58,43.321742645840345,True,True,False,False,2,False,2.144311960194479,-7.612145030757041,10,99.292929,1.002075927855578,-11.101524860533898,6,34.494949,-2.2980321604889076,-32.440979018495845,6,35.050505,-0.7299155592821887,-28.665834501728593,14,4.444444
3dee55cecb0ccfef710994af178becd8c3bc65f71a4c2d17419f4dfbe66476fe,1,-145.2276498969299,False,True,False,True,1,False,-4.52276498969299,-71.89435161152231,15,15.959596,3.775272365157457,-24.50262087572507,8,45.555556,-0.037159774848940806,-28.133944443417796,12,86.666667,5.048729430667753,-20.876102586198982,12,87.878788
0159bec9e00af157dae76573308a0334625ad3852cac8075734e8fb28974f805,2,-121.78245924642412,False,True,False,True,1,False,-2.1782459246424124,-49.49770900959084,19,83.535354,5.9970270325392185,-42.205308667825356,11,60.353535,-1.1598347064615793,-43.68554975235081,12,57.878788,4.674646291941551,-20.126813147715666,16,84.69697
0f785ba0c2a7ffda1d8155721a31a52086e2a9d861c544a4714177d87fe5a9f2,4,-126.10525586285759,False,True,False,True,1,False,-2.610525586285759,-39.7620711566512,17,72.626263,8.04051782675441,-31.039748606067604,9,88.383838,-1.943547969022085,-42.460604761033586,14,35.555556,4.709277879180343,-14.600026263963883,15,84.494949
17d1b96c1525b1500d57d593aced69f6dfbc17dddc289ab62f4c564d2809ac1f,5,-131.39509533708664,False,True,False,True,1,False,-3.139509533708665,-52.6237063563507,19,56.969697,6.922821922518254,-31.039748606067604,11,82.171717,-1.400079904872265,-41.22812651147267,13,51.515152,3.1973403071818383,-26.37743764805854,16,63.838384
235647054857cdff0ccf96db60cfb28c35987c9dacb72b9260dd4bbae6047b01,6,-138.82833663091913,False,True,False,True,1,False,-3.8828336630919127,-61.39130846235582,17,28.686869,6.839812173377898,-31.039748606067604,10,77.424242,-2.0611007242624657,-42.04524261013644,13,31.414141,2.032912792843679,-27.685108702454606,16,38.989899
29fa6a7e3876dbe90a6ca2f0100120490c424c78e5d026e5a29546f71c370ceb,7,-123.72894598444809,False,True,False,True,1,False,-2.3728945984448093,-50.352975022683744,22,78.383838,6.210671789669084,-42.20530866782534,11,66.161616,-2.6253836695772748,-41.09698265221986,13,19.69697,3.536989736462676,-21.05957907634405,17,72.222222
