generation,best_fitness,avg_top10_fitness,cache_size,best_hash,best_avg_exp,best_min_exp,best_worst_dd_abs,best_total_trades
0,3.9599572018981566,2.7345628272686087,100,d8fd965450244903cbd0d29f4aeccb94486e2975dffbab318723a5f27996402f,4.800132913995567,2.396163757225408,13.507622498065208,25
1,6.2048050620214905,3.6337567822244217,179,79a86a43c66eabff70858b6f1667dbac9af6cb72ed9002b2c1b7a876743891ef,6.068554772892412,2.965438582671667,15.04248880773231,21
2,6.567533842762023,4.954951547833718,259,8b3bf421c1769e5c0b966e13deb40de41e3dfe87c79fe783132c1d203ffcbaea,5.624803201236837,2.5160345195198097,9.049460949987449,23
3,7.405228775274379,6.020153795666035,339,710c53aa2aab7d789cc6920b10688c12b08860bdc20595ac80f1d8f2940cbe6e,6.184082203770011,2.6370068246580103,9.020668104640016,22
4,7.711275013327006,6.818829791083488,419,7d13d309da4ff9b8bad339e53b8425a1356a2444fd966531e1a08e0d24d204bc,6.100013983312964,2.649272432981359,8.28159324779336,21
5,8.143714015420029,7.386280529625476,499,b0b4e3bc145f32199253685c8820342f4c87d83cf0330d2ff5472c10b2f9b125,6.136325659510981,3.32047121576299,11.24118967141323,21
6,8.143714015420029,7.644928878046551,579,b0b4e3bc145f32199253685c8820342f4c87d83cf0330d2ff5472c10b2f9b125,6.136325659510981,3.32047121576299,11.24118967141323,21
7,8.143714015420029,7.794249731552465,659,b0b4e3bc145f32199253685c8820342f4c87d83cf0330d2ff5472c10b2f9b125,6.136325659510981,3.32047121576299,11.24118967141323,21
8,8.345060660109148,7.888878077262413,739,82d9a39d493c11d20c9090442b5a840cc7c0323ee5862a969a3d634d97cacb99,6.689342476100247,3.1901324287665855,11.508046211359034,21
9,9.462120062350987,8.503081790593004,819,dccb128afe0e54b12be821b09f3502e450648d715e57d4fb7a98af282aa76b35,6.73977830077572,3.321102663546259,8.746065627760007,21
10,9.462120062350987,8.78689972009953,899,dccb128afe0e54b12be821b09f3502e450648d715e57d4fb7a98af282aa76b35,6.73977830077572,3.321102663546259,8.746065627760007,21
11,9.462120062350987,8.990937833180014,979,dccb128afe0e54b12be821b09f3502e450648d715e57d4fb7a98af282aa76b35,6.73977830077572,3.321102663546259,8.746065627760007,21
12,9.496321473233849,9.122867842169793,1059,1f265efc7368bd0f7e24cd29620c0f8e1887b9436195cde60b243f3f185d1440,5.864634992494964,3.7370686404098374,9.049460949987449,22
13,10.636045659121452,9.401798986554715,1139,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
14,10.636045659121452,9.541829716612133,1219,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
15,10.636045659121452,9.581878001915893,1299,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
16,10.636045659121452,9.628726279252678,1378,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
17,10.636045659121452,9.70842430398735,1458,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
18,10.636045659121452,9.78822506488928,1538,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
19,10.636045659121452,9.799958777486557,1618,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
20,10.636045659121452,9.810849533578594,1698,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
21,10.636045659121452,9.889720601773458,1778,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
22,10.636045659121452,9.889720601773458,1858,99f5d6eb009db0dc312782030c6c34ee95695201abf96fe9ea12518428ccc35a,5.9267697927066605,4.156725766051064,8.520647806142328,23
23,10.672889175997746,10.090028491316739,1938,c33bcb7e6832fcdba8b0126ee520660368612728f138b0f91d85df04cee76369,5.927519571242348,4.186675089189737,8.520647806142328,23
24,11.175153855738484,10.228290714373102,2018,48a18e03f6260b3c51051e1322ca9cf04bf00c4c13fbd84b6113e68c411ce133,6.134951348141506,4.329989403668944,8.520647806142328,22
25,11.175153855738484,10.44689052123155,2098,48a18e03f6260b3c51051e1322ca9cf04bf00c4c13fbd84b6113e68c411ce133,6.134951348141506,4.329989403668944,8.520647806142328,22
26,11.175153855738484,10.52739245772323,2178,48a18e03f6260b3c51051e1322ca9cf04bf00c4c13fbd84b6113e68c411ce133,6.134951348141506,4.329989403668944,8.520647806142328,22
27,11.239878807334671,10.64598595335342,2258,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
28,11.239878807334671,10.817040036062911,2338,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
29,11.239878807334671,10.923367472781452,2418,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
30,11.239878807334671,11.040593484322354,2497,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
31,11.239878807334671,11.128282909320806,2577,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
32,11.239878807334671,11.162518289874717,2657,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
33,11.239878807334671,11.194960950915942,2737,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
34,11.239878807334671,11.198069533187601,2817,be8f7e3332668bf7c812fa6a787754693ece66505e4aa04614caf1c831f08852,6.0989733836871745,4.376633379949203,8.520647806142328,23
35,11.253302515397476,11.2058843991535,2897,a6f0dcf9c5c9982448f30ec0be5b62aab3da30fa91c63b5d070ed6d71fbba463,6.346203758201553,4.376633379949203,9.587686834205517,22
36,11.253302515397476,11.212356894313118,2977,a6f0dcf9c5c9982448f30ec0be5b62aab3da30fa91c63b5d070ed6d71fbba463,6.346203758201553,4.376633379949203,9.587686834205517,22
37,11.389242845913326,11.240238288490222,3057,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,6.406236723243827,4.416450021028437,9.587686834205517,22
38,11.389242845913326,11.268824573549226,3137,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,6.406236723243827,4.416450021028437,9.587686834205517,22
39,11.389242845913326,11.268824573549226,3217,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,6.406236723243827,4.416450021028437,9.587686834205517,22
40,11.389242845913326,11.276177716992482,3297,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,6.406236723243827,4.416450021028437,9.587686834205517,22
